ElectionType,Year,Province,EligibleVoters,Votes1,ValidVotes,Party,Count,Turnout,VoteShare
Second Chamber,1952,Drenthe,153166,139834,139834,Partij van de Arbeid (P.v.d.A.),58454,0.9129571837091783,0.4180242287283493
Second Chamber,1952,Fryslân,266131,248622,248622,Partij van de Arbeid (P.v.d.A.),91006,0.9342090925145887,0.3660416214172519
Second Chamber,1952,Gelderland,616128,581752,581752,Partij van de Arbeid (P.v.d.A.),166817,0.9442063986704061,0.2867493364870254
Second Chamber,1952,Groningen,270639,246925,246925,Partij van de Arbeid (P.v.d.A.),93940,0.9123777430451635,0.3804394046775337
Second Chamber,1952,Limburg,379588,350687,350687,Partij van de Arbeid (P.v.d.A.),44777,0.92386218742426,0.12768366092840625
Second Chamber,1952,Niet-provinciaal ingedeeld,5792,7085,7085,Partij van de Arbeid (P.v.d.A.),2045,1.223238950276243,0.2886379675370501
Second Chamber,1952,Noord-Brabant,655456,613137,613137,Partij van de Arbeid (P.v.d.A.),92150,0.935435788214617,0.15029267520961873
Second Chamber,1952,Noord-Holland,1119864,1023710,1023710,Partij van de Arbeid (P.v.d.A.),335001,0.9141377881599908,0.3272420900450323
Second Chamber,1952,Overijssel,387505,362669,362669,Partij van de Arbeid (P.v.d.A.),97150,0.9359079237687256,0.2678751147740777
Second Chamber,1952,Utrecht,333353,309159,309159,Partij van de Arbeid (P.v.d.A.),87213,0.9274222820853569,0.28209756144896314
Second Chamber,1952,Zeeland,161354,149590,149590,Partij van de Arbeid (P.v.d.A.),41950,0.9270919840846834,0.2804331840363661
Second Chamber,1952,Zuid-Holland,1432164,1302286,1302286,Partij van de Arbeid (P.v.d.A.),435341,0.9093134585145277,0.3342898564524229
Second Chamber,1952,Drenthe,153166,139834,139834,Katholieke Volkspartij (KVP),8676,0.9129571837091783,0.06204499620979161
Second Chamber,1952,Fryslân,266131,248622,248622,Katholieke Volkspartij (KVP),16563,0.9342090925145887,0.06661920505828124
Second Chamber,1952,Gelderland,616128,581752,581752,Katholieke Volkspartij (KVP),168154,0.9442063986704061,0.28904756666070763
Second Chamber,1952,Groningen,270639,246925,246925,Katholieke Volkspartij (KVP),12864,0.9123777430451635,0.05209679052343829
Second Chamber,1952,Limburg,379588,350687,350687,Katholieke Volkspartij (KVP),264546,0.92386218742426,0.7543650035501743
Second Chamber,1952,Niet-provinciaal ingedeeld,5792,7085,7085,Katholieke Volkspartij (KVP),1693,1.223238950276243,0.23895553987297108
Second Chamber,1952,Noord-Brabant,655456,613137,613137,Katholieke Volkspartij (KVP),428161,0.935435788214617,0.6983121227392899
Second Chamber,1952,Noord-Holland,1119864,1023710,1023710,Katholieke Volkspartij (KVP),216161,0.9141377881599908,0.21115452618417324
Second Chamber,1952,Overijssel,387505,362669,362669,Katholieke Volkspartij (KVP),95418,0.9359079237687256,0.26309941020600053
Second Chamber,1952,Utrecht,333353,309159,309159,Katholieke Volkspartij (KVP),71881,0.9274222820853569,0.2325049569962382
Second Chamber,1952,Zeeland,161354,149590,149590,Katholieke Volkspartij (KVP),27714,0.9270919840846834,0.18526639481248747
Second Chamber,1952,Zuid-Holland,1432164,1302286,1302286,Katholieke Volkspartij (KVP),217603,0.9093134585145277,0.16709309629374808
Second Chamber,1952,Drenthe,153166,139834,139834,Anti-Revolutionaire Partij,23441,0.9129571837091783,0.1676344808844773
Second Chamber,1952,Fryslân,266131,248622,248622,Anti-Revolutionaire Partij,56663,0.9342090925145887,0.22790823016466766
Second Chamber,1952,Gelderland,616128,581752,581752,Anti-Revolutionaire Partij,62201,0.9442063986704061,0.10692013091489157
Second Chamber,1952,Groningen,270639,246925,246925,Anti-Revolutionaire Partij,45038,0.9123777430451635,0.1823954642097803
Second Chamber,1952,Limburg,379588,350687,350687,Anti-Revolutionaire Partij,3382,0.92386218742426,0.00964392749089644
Second Chamber,1952,Niet-provinciaal ingedeeld,5792,7085,7085,Anti-Revolutionaire Partij,1382,1.223238950276243,0.19505998588567397
Second Chamber,1952,Noord-Brabant,655456,613137,613137,Anti-Revolutionaire Partij,17577,0.935435788214617,0.028667328835154295
Second Chamber,1952,Noord-Holland,1119864,1023710,1023710,Anti-Revolutionaire Partij,98123,0.9141377881599908,0.09585038731672056
Second Chamber,1952,Overijssel,387505,362669,362669,Anti-Revolutionaire Partij,40512,0.9359079237687256,0.11170516366163086
Second Chamber,1952,Utrecht,333353,309159,309159,Anti-Revolutionaire Partij,46252,0.9274222820853569,0.14960586623711425
Second Chamber,1952,Zeeland,161354,149590,149590,Anti-Revolutionaire Partij,20698,0.9270919840846834,0.13836486396149475
Second Chamber,1952,Zuid-Holland,1432164,1302286,1302286,Anti-Revolutionaire Partij,187901,0.9093134585145277,0.14428551024890077
Second Chamber,1952,Drenthe,153166,139834,139834,Christelijk-Historische Unie,18005,0.9129571837091783,0.12875981520946264
Second Chamber,1952,Fryslân,266131,248622,248622,Christelijk-Historische Unie,40554,0.9342090925145887,0.16311509037816443
Second Chamber,1952,Gelderland,616128,581752,581752,Christelijk-Historische Unie,78330,0.9442063986704061,0.13464500336913324
Second Chamber,1952,Groningen,270639,246925,246925,Christelijk-Historische Unie,25133,0.9123777430451635,0.10178394249265972
Second Chamber,1952,Limburg,379588,350687,350687,Christelijk-Historische Unie,3146,0.92386218742426,0.008970962710337139
Second Chamber,1952,Niet-provinciaal ingedeeld,5792,7085,7085,Christelijk-Historische Unie,1003,1.223238950276243,0.1415666901905434
Second Chamber,1952,Noord-Brabant,655456,613137,613137,Christelijk-Historische Unie,16080,0.935435788214617,0.026225786406626903
Second Chamber,1952,Noord-Holland,1119864,1023710,1023710,Christelijk-Historische Unie,53608,0.9141377881599908,0.05236639282609333
Second Chamber,1952,Overijssel,387505,362669,362669,Christelijk-Historische Unie,51427,0.9359079237687256,0.14180147738020069
Second Chamber,1952,Utrecht,333353,309159,309159,Christelijk-Historische Unie,36316,0.9274222820853569,0.11746706387328203
Second Chamber,1952,Zeeland,161354,149590,149590,Christelijk-Historische Unie,23581,0.9270919840846834,0.15763754261648505
Second Chamber,1952,Zuid-Holland,1432164,1302286,1302286,Christelijk-Historische Unie,129005,0.9093134585145277,0.09906042144352316
Second Chamber,1952,Drenthe,153166,139834,139834,VVD,20726,0.9129571837091783,0.1482186020567244
Second Chamber,1952,Fryslân,266131,248622,248622,VVD,21505,0.9342090925145887,0.08649677019732767
Second Chamber,1952,Gelderland,616128,581752,581752,VVD,49426,0.9442063986704061,0.08496060176845116
Second Chamber,1952,Groningen,270639,246925,246925,VVD,31208,0.9123777430451635,0.12638655462184875
Second Chamber,1952,Limburg,379588,350687,350687,VVD,3181,0.92386218742426,0.0090707668091489
Second Chamber,1952,Niet-provinciaal ingedeeld,5792,7085,7085,VVD,362,1.223238950276243,0.0510938602681722
Second Chamber,1952,Noord-Brabant,655456,613137,613137,VVD,12164,0.935435788214617,0.01983895931904289
Second Chamber,1952,Noord-Holland,1119864,1023710,1023710,VVD,115802,0.9141377881599908,0.11311992654169638
