RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);VVD;Anti-Revolutionaire Partij;Christelijk-Historische Unie;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Bruggroep;Partij voor Landbouw en Middenstand;Positief Christelijk Nationale Unie
Aagtekerke;G1000;10531;Zeeland;P29;410;386;5;;381;3;15;19;41;102;;194;;2;5;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;8312;8008;110;;7898;1559;2224;1351;1083;1087;74;76;350;23;53;18;;
Aalten;G0197;11046;Gelderland;P25;8216;7990;178;;7812;1325;1486;478;2860;1576;1;17;13;22;31;3;;
Aardenburg;G0648;11020;Zeeland;P29;2113;2017;82;;1935;1220;350;182;99;50;1;5;5;;23;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;1780;1741;36;;1705;1437;177;32;19;19;3;2;;;;;16;
Abbekerk;G0359;10439;Noord-Holland;P27;543;513;2;;511;205;153;103;18;12;6;;12;;;2;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;483;453;8;;445;4;211;129;40;19;3;7;13;;14;5;;
Abcoude;G0305;10712;Utrecht;P26;2377;2300;25;;2275;810;289;300;280;453;10;64;31;2;34;2;;
Achtkarspelen;G0059;10199;Fryslân;P21;10035;9637;117;;9520;38;3105;507;3751;1435;221;72;45;315;;31;;
Adorp;G0001;10996;Groningen;P20;864;845;10;;835;1;222;138;336;57;1;1;5;65;8;1;;
Aduard;G0002;10999;Groningen;P20;1275;1251;16;;1235;7;385;251;387;66;10;1;13;110;4;1;;
Akersloot;G0360;10346;Noord-Holland;P27;1386;1357;17;;1340;930;188;144;18;18;12;2;22;;;6;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;7192;6848;126;;6722;265;2839;660;696;1221;45;847;48;55;21;25;;
Alkemade;G0483;10349;Zuid-Holland;P28;4060;3982;41;;3941;3275;120;86;288;127;7;9;7;2;20;;;
Alkmaar;G0361;10527;Noord-Holland;P27;24889;23937;452;;23485;8169;8307;3145;1313;1011;557;45;719;48;;171;;
Almelo;G0141;11053;Overijssel;P23;28751;27763;703;;27060;6701;10989;3131;2438;1679;1061;163;419;100;102;277;;
Almkerk;G0740;10788;Noord-Brabant;P30;2637;2559;22;;2537;18;304;66;1419;574;;66;2;81;;;7;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;12751;12407;148;;12259;2498;2750;952;2384;2848;107;582;71;26;33;8;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;1771;1748;18;;1730;1666;52;8;2;2;;;;;;;;
Ambt Delden;G0142;11400;Overijssel;P23;2653;2578;17;;2561;1737;341;190;42;206;2;2;5;;33;3;;
Amby;G0883;10922;Limburg;P31;1508;1472;48;;1424;1141;208;61;6;3;;;5;;;;;
Ameide;G0485;11349;Zuid-Holland;P28;1113;1078;12;;1066;2;382;80;408;116;;68;5;;5;;;
Ameland;G0060;11153;Fryslân;P21;1383;1320;14;;1306;378;436;171;109;193;2;1;14;1;;1;;
Amerongen;G0306;11372;Utrecht;P26;2493;2304;41;;2263;93;697;200;296;620;3;283;15;4;48;3;;1
Amersfoort;G0307;10948;Utrecht;P26;39741;37833;751;;37082;8681;12484;5701;3549;3809;428;522;672;697;224;281;;34
Ammerstol;G0486;10863;Zuid-Holland;P28;718;693;17;;676;2;437;73;18;10;82;18;34;;2;;;
Ammerzoden;G0198;10151;Gelderland;P25;1729;1671;15;;1656;1162;146;18;93;175;;57;;;4;1;;
Amstenrade;G0884;10062;Limburg;P31;1713;1676;57;;1619;1206;296;43;36;23;2;;7;3;;3;;
