RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);VVD;Anti-Revolutionaire Partij;Christelijk-Historische Unie;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Boeren Partij;Gereformeerd Politiek Verbond (GPV);Partij Economisch Appel;Liberale Staatspartij;Liberale Unie "Veilig Verkeer";Nieuw-Democratische Partij;CNVP;Lijst Grol;Volksreferendum
Aagtekerke;G1000;10531;Zeeland;P29;425;399;5;;394;4;15;12;35;118;2;2;192;13;;;;;;1;;
Aalsmeer;G0358;11264;Noord-Holland;P27;8906;8548;119;;8429;1693;2275;1231;1138;1199;389;85;96;181;31;44;43;16;7;;1;
Aalten;G0197;11046;Gelderland;P25;8658;8498;215;;8283;1374;1455;439;2960;1714;42;14;41;177;22;21;8;4;10;2;;
Aardenburg;G0648;11020;Zeeland;P29;2047;1968;96;;1872;1115;289;171;99;65;7;3;2;95;2;10;7;;4;3;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;1891;1824;43;;1781;1484;145;40;13;22;3;7;7;41;2;7;3;6;1;;;
Abbekerk;G0359;10439;Noord-Holland;P27;545;526;8;;518;196;160;61;15;16;30;6;;31;;;2;1;;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;497;473;14;;459;4;200;98;36;40;15;6;7;47;;3;;;2;1;;
Abcoude;G0305;10712;Utrecht;P26;3053;2928;48;;2880;855;434;400;342;568;75;29;66;57;5;19;13;11;5;1;;
Achtkarspelen;G0059;10199;Fryslân;P21;10446;9998;191;;9807;41;2984;407;3882;1434;163;184;105;218;344;17;13;2;13;;;
Adorp;G0001;10996;Groningen;P20;866;850;12;;838;3;204;99;331;57;5;9;2;46;71;3;5;2;1;;;
Aduard;G0002;10999;Groningen;P20;1281;1250;26;;1224;9;371;210;363;77;19;7;2;37;122;5;;;2;;;
Akersloot;G0360;10346;Noord-Holland;P27;1463;1435;25;;1410;950;180;111;10;15;43;18;;67;;4;2;8;2;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;7705;7341;151;;7190;294;2950;586;678;1304;158;90;937;66;57;22;26;1;14;7;;
Alkemade;G0483;10349;Zuid-Holland;P28;4459;4361;54;;4307;3495;112;141;270;129;20;7;10;97;2;8;4;5;6;1;;
Alkmaar;G0361;10527;Noord-Holland;P27;26352;25208;446;;24762;8759;7745;3077;1248;1187;1155;792;56;324;54;157;83;81;44;;;
Almelo;G0141;11053;Overijssel;P23;30548;29325;742;;28583;7326;10858;2813;2413;1926;981;1235;190;427;101;131;52;66;64;;;
Almkerk;G0740;10788;Noord-Brabant;P30;2675;2596;32;;2564;11;275;38;1413;601;4;6;81;42;84;3;4;1;1;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;14748;14278;193;;14085;2945;3058;1071;2599;3120;219;94;621;219;36;39;17;19;18;10;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;1901;1871;25;;1846;1745;37;7;1;;5;1;;44;;4;;1;1;;;
Ambt Delden;G0142;11400;Overijssel;P23;2767;2701;31;;2670;1725;279;169;30;197;6;1;;253;5;1;1;2;1;;;
Amby;G0883;10922;Limburg;P31;1610;1566;63;;1503;1187;196;36;6;7;10;6;2;35;1;9;2;3;3;;;
Ameide;G0485;11349;Zuid-Holland;P28;1111;1063;15;;1048;2;363;60;371;135;3;;82;29;;1;2;;;;;
Ameland;G0060;11153;Fryslân;P21;1434;1469;8;;1461;416;438;156;133;209;52;6;4;40;5;;;1;1;;;
Amerongen;G0306;11372;Utrecht;P26;2787;2709;45;;2664;127;782;257;274;783;38;11;284;75;11;8;2;4;4;4;;
Amersfoort;G0307;10948;Utrecht;P26;40832;38538;965;;37573;9264;11735;4639;3255;4339;1199;653;598;487;777;242;185;94;86;20;;
Ammerstol;G0486;10863;Zuid-Holland;P28;741;708;17;;691;6;450;66;17;13;37;77;16;7;;;;2;;;;
