RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);VVD;Anti-Revolutionaire Partij;Democraten 66 (D66);Christelijk-Historische Unie;Democratisch Socialisten '70;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Nederlandse Middenstands Partij;Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Algemene Bejaarden Partij Nederland;Nederlands Appel;Nieuwe Roomse Partij;Kabouters;Bejaarden en Arbeidspartij;Binding Rechts;Democraten 2000;Bejaardenpartij 65+;Lijst van Velzen;Bejaarden Partij Algemeen Belang;Stichting Gedupeerde Groepen 18+ t/m 65;Landelijke Partij van Bejaarden;Partij van het Recht;Positief Sociaal Democraten
Aalsmeer;G0358;11264;Noord-Holland;P27;11674;9795;49;;9746;1961;1555;1358;1326;738;942;732;193;102;117;144;208;147;79;16;32;29;26;10;13;4;;3;8;1;2;;
Aalten;G0197;11046;Gelderland;P25;9753;8485;52;;8433;1246;1138;448;3077;201;1601;220;35;22;97;113;79;20;79;6;5;7;5;5;18;5;;4;;2;;;
Aardenburg;G0648;11020;Zeeland;P29;2239;1804;14;;1790;271;827;235;67;48;47;30;11;5;78;12;58;12;54;8;3;5;5;8;1;5;;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;2374;1818;16;;1802;227;1098;121;40;92;12;51;27;;19;2;23;21;30;5;;5;13;7;2;6;;1;;;;;
Abbekerk;G0359;10439;Noord-Holland;P27;895;707;1;;706;155;238;75;22;45;20;52;25;;7;5;23;16;11;4;;3;4;;1;;;;;;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;711;587;5;;582;200;14;147;57;53;36;21;16;5;5;4;8;1;8;;2;;4;;1;;;;;;;;
Abcoude;G0305;10712;Utrecht;P26;3836;3317;14;;3303;440;635;590;352;197;466;212;50;67;54;41;84;24;29;6;16;13;8;8;1;4;;4;;2;;;
Achtkarspelen;G0059;10199;Fryslân;P21;12825;10718;65;;10653;2922;27;442;4145;190;1271;174;312;239;65;552;115;54;80;11;2;;5;23;11;10;;3;;;;;
Adorp;G0001;10996;Groningen;P20;930;840;7;;833;158;11;97;322;30;25;29;18;1;13;80;13;8;14;;3;;1;2;6;2;;;;;;;
Aduard;G0002;10999;Groningen;P20;1466;1316;7;;1309;335;8;208;364;44;60;40;44;2;11;142;15;9;5;4;1;;3;1;11;2;;;;;;;
