RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);VVD;Anti-Revolutionaire Partij;Politieke Partij Radikalen (PPR);Christelijk-Historische Unie;Communistische Partij van Nederland;Democraten 66 (D66);Democratisch Socialisten '70;Staatkundig Gereformeerde Partij (SGP);Boeren Partij;Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Rooms Katholieke Partij Nederland (RKPN);Democratische Middenpartij;Nederlandse Middenstands Partij;Lijst ir. W. Stam;Partij van het Recht;Anti-Woningnood Aktie;Nieuwe Roomse Partij
Aalsmeer;G0358;11264;Noord-Holland;P27;12962;11407;25;41;11341;2365;1470;2346;1612;437;822;268;562;684;105;118;232;184;47;49;36;4;;;
Aalten;G0197;11046;Gelderland;P25;10998;9618;22;22;9574;1576;1159;781;3427;213;1515;49;169;190;33;149;173;63;21;39;17;;;;
Aardenburg;G0648;11020;Zeeland;P29;2462;2001;8;8;1985;373;758;399;83;82;24;19;29;28;9;91;17;12;31;12;18;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;2743;2244;6;6;2232;392;1092;239;63;83;12;45;81;47;2;87;6;27;34;4;18;;;;
Abbekerk;G0359;10439;Noord-Holland;P27;1034;878;7;0;871;207;236;120;38;33;18;47;44;49;;17;5;20;14;6;15;2;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;793;690;6;0;684;249;13;178;59;30;28;15;39;29;3;17;3;13;4;;4;;;;
Abcoude;G0305;10712;Utrecht;P26;4391;3965;29;5;3931;558;621;944;434;197;344;95;149;281;73;52;58;47;22;27;29;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;14610;12836;71;30;12735;3718;51;643;4678;227;1419;361;155;175;266;168;743;58;5;26;42;;;;
Adorp;G0001;10996;Groningen;P20;1058;989;0;5;984;220;13;121;364;37;16;14;24;33;1;31;97;4;;6;3;;;;
Aduard;G0002;10999;Groningen;P20;1747;1632;6;2;1624;459;23;223;456;48;63;30;38;57;3;28;152;28;;9;7;;;;
