RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP (Socialistische Partij);Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek
Aalburg;G0738;11084;Noord-Brabant;P30;6199;5496;26;;5470;1026;1943;656;123;1404;15;23;59;6;74;11;115;6;4;1;2;;;2;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;13988;12842;93;;12749;3101;4508;3441;774;113;105;146;76;94;68;125;122;51;7;14;;2;1;1;;;;;
Aalten;G0197;11046;Gelderland;P25;11684;10708;46;;10662;2200;6438;1146;218;43;17;124;106;38;94;40;143;11;31;11;;1;;1;;;;;
Aardenburg;G0648;11020;Zeeland;P29;2573;2285;15;;2270;590;848;540;54;7;7;30;10;18;125;5;1;3;29;2;;;1;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;3247;2874;12;;2862;687;1468;465;144;1;6;24;1;11;31;10;1;2;3;5;1;;2;;;;;;
Abbekerk;G0359;10439;Noord-Holland;P27;1332;1174;6;;1168;355;323;285;89;5;17;26;1;11;9;21;4;5;17;;;;;;;;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;841;761;5;;756;302;121;214;51;13;4;7;8;4;8;10;6;7;1;;;;;;;;;;
Abcoude;G0305;10712;Utrecht;P26;5091;4799;30;;4769;840;1611;1486;387;83;31;89;41;43;26;44;36;21;25;3;3;;;;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;16179;14807;81;;14726;5066;7024;915;262;217;131;105;481;40;76;35;360;11;;1;;1;;1;;;;;
Adorp;G0001;10996;Groningen;P20;1158;1114;6;;1108;271;402;168;43;2;2;51;111;12;20;8;9;7;;1;;;;1;;;;;
Aduard;G0002;10999;Groningen;P20;1844;1735;5;;1730;526;587;295;77;5;14;31;143;17;9;8;11;2;1;3;;;;1;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;3010;2791;15;;2776;693;1129;553;210;;26;63;4;24;24;22;4;3;15;4;;1;;;1;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;11750;10633;59;;10574;4777;2204;1357;513;1102;56;91;145;64;41;45;128;32;2;5;8;;3;1;;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;8010;7280;42;;7238;1071;4129;1365;314;16;19;90;3;72;51;41;9;9;36;6;3;4;;;;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;46237;40752;202;;40550;15287;10535;7872;3009;54;954;952;153;497;268;376;140;133;214;57;;10;10;17;12;;;;
Almelo;G0141;11053;Overijssel;P23;41436;36990;142;;36848;15686;11484;4978;1787;185;741;467;251;167;322;171;219;93;127;138;;8;17;7;;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;30935;27306;195;;27111;7296;9594;6126;1653;703;134;516;217;146;91;155;268;68;89;15;16;7;6;11;;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;3588;3284;20;;3264;572;1838;626;121;1;5;35;4;14;27;9;;2;5;2;3;;;;;;;;
Ambt Delden;G0142;11400;Overijssel;P23;3557;3435;6;;3429;441;2387;370;71;1;3;15;3;8;84;7;2;2;32;;;1;2;;;;;;
Ameide;G0485;11349;Zuid-Holland;P28;1848;1747;22;;1725;542;690;172;53;171;8;10;12;8;30;11;17;;;;;;;1;;;;;
Ameland;G0060;11153;Fryslân;P21;2060;2846;7;;2839;794;1183;489;157;6;20;59;26;31;27;26;12;2;;4;2;;;1;;;;;
Amerongen;G0306;11372;Utrecht;P26;4239;3997;37;;3960;1043;1145;1000;172;353;16;34;39;13;61;21;39;13;6;3;;;;2;;;;;
Amersfoort;G0307;10948;Utrecht;P26;60535;53056;396;;52660;15898;15781;10716;3962;870;683;867;1659;485;312;418;267;178;196;186;136;16;25;5;;;;;
Ammerstol;G0486;10863;Zuid-Holland;P28;1061;985;8;;977;577;59;145;74;24;49;12;2;14;3;9;2;7;;;;;;;;;;;
