RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Algemeen Ouderen Verbond (AOV);GL;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);SP (Socialistische Partij);Ouderen Unie 55+;Centrumpartij;Natuurwetpartij;Vrije Indische Partij;De Groenen;Nieuwe Communistische Partij;Solidariteit Boerenpartij;Partij voor Milieu en Recht;Solidair '93;Pacifistisch Socialistische Partij '92;De Nieuwe Partij;Algemeen Democratische Partij;Patriottisch Democratisch Appèl;Socialistische Arbeiderspartij;Libertarische Partij
Aalburg;G0738;11084;Noord-Brabant;P30;7978;6739;;17;6722;812;1733;931;502;179;55;148;554;1496;197;34;20;12;10;1;6;0;9;5;5;0;6;0;3;1;3
Aalsmeer;G0358;11264;Noord-Holland;P27;16903;13981;;28;13953;2107;3581;4380;1988;483;293;246;283;77;123;41;85;85;30;11;27;4;9;15;7;15;15;8;29;6;5
Aalten;G0197;11046;Gelderland;P25;13722;11515;;26;11489;2301;5193;1407;1267;254;220;145;376;27;81;40;54;27;12;5;21;3;27;9;1;1;6;6;;1;5
Aardenburg;G0648;11020;Zeeland;P29;2576;1987;;15;1972;454;605;442;216;88;27;61;6;7;10;2;18;9;0;1;4;3;9;3;;0;2;2;;1;2
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;4420;3603;;11;3592;757;1182;629;536;150;65;82;9;5;12;43;71;6;10;3;1;0;4;2;;5;17;0;1;2;0
Abcoude;G0305;10712;Utrecht;P26;6107;5288;;0;5288;827;1273;1653;865;126;135;99;69;52;52;18;47;6;11;9;12;5;7;1;0;5;1;1;9;3;2
Achtkarspelen;G0059;10199;Fryslân;P21;20628;16640;;46;16594;5145;5721;1320;1222;250;268;219;1033;195;915;64;31;55;22;5;14;30;18;17;15;12;7;10;;1;5
Akersloot;G0360;10346;Noord-Holland;P27;3676;3118;;8;3110;616;814;798;522;127;78;42;12;0;10;12;36;8;16;0;6;1;3;1;1;1;0;0;2;2;2
Alblasserdam;G0482;11327;Zuid-Holland;P28;12985;10774;;38;10736;3193;1843;1615;1283;267;163;267;466;1150;177;68;57;58;37;39;7;9;2;6;10;5;11;0;1;2;0
Albrandswaard;G0613;10124;Zuid-Holland;P28;11623;9436;;26;9410;1648;2056;2971;1345;286;167;282;114;144;131;49;68;42;29;7;12;2;7;13;8;10;11;0;3;4;1
