RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Lijst Pim Fortuyn;VVD;Partij van de Arbeid (P.v.d.A.);GL;SP (Socialistische Partij);Democraten 66 (D66);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij
Aa en Hunze;G1680;10787;Drenthe;P22;19445;16219;;13;16206;2606;1893;3946;4411;1138;757;938;157;26;246;62;13;5;6;2;
Aalburg;G0738;11084;Noord-Brabant;P30;8658;7484;;3;7481;2541;1067;656;416;138;215;116;655;1574;81;7;4;0;9;2;
Aalsmeer;G0358;11264;Noord-Holland;P27;17280;14719;;15;14704;4590;2774;3106;1486;593;537;765;361;62;303;98;;8;17;4;
Aalten;G0197;11046;Gelderland;P25;13922;11656;;12;11644;5922;1119;1088;1417;607;469;400;398;30;136;39;6;3;9;1;
Abcoude;G0305;10712;Utrecht;P26;6180;5585;;5;5580;1564;845;1318;625;334;264;410;80;42;79;14;1;1;3;;
Achtkarspelen;G0059;10199;Fryslân;P21;21343;17130;;15;17115;7188;2160;1190;3025;625;704;360;1363;213;225;30;;7;23;2;
Alblasserdam;G0482;11327;Zuid-Holland;P28;13430;11155;;11;11144;2837;1929;1155;1853;327;498;309;711;1324;145;36;15;4;1;0;
Albrandswaard;G0613;10124;Zuid-Holland;P28;13760;11568;;16;11552;2988;3188;2192;1228;359;444;498;202;143;248;43;7;5;4;3;
Alkemade;G0483;10349;Zuid-Holland;P28;10733;9244;;5;9239;3738;1558;1637;853;445;351;403;25;14;177;18;2;2;11;5;
Alkmaar;G0361;10527;Noord-Holland;P27;69192;54734;;81;54653;11079;8557;8284;10041;5736;4850;3592;676;57;1310;304;74;66;;27;
Almelo;G0141;11053;Overijssel;P23;52529;39894;;42;39852;12259;6081;5015;7994;2557;2118;1652;1050;132;611;200;105;50;25;3;
Almere;G0034;10018;Flevoland;P24;109764;83890;;95;83795;13538;19340;16279;13230;6830;4659;5081;1577;98;2374;575;118;58;;38;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;52995;42165;;81;42084;11436;7013;8220;4912;2854;2211;2587;1427;512;689;114;37;32;31;9;
Alphen-Chaam;G1723;10710;Noord-Brabant;P30;7078;6156;;0;6156;2676;1014;1069;491;260;269;255;13;2;71;23;2;3;6;2;
Ambt Montfort;G1679;10456;Limburg;P31;8550;6471;;27;6444;2766;1283;716;694;341;251;224;19;2;111;21;10;1;1;4;
Ameland;G0060;11153;Fryslân;P21;2656;3046;;0;3046;1107;443;499;502;155;103;118;42;4;53;14;;0;5;1;
Amerongen;G0306;11372;Utrecht;P26;5429;4623;;5;4618;1373;772;768;482;177;160;196;202;415;52;15;1;2;3;;
Amersfoort;G0307;10948;Utrecht;P26;94305;75999;;85;75914;18018;9912;13625;11290;7072;5353;4544;3862;697;1152;204;94;45;46;;
