RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);SP (Socialistische Partij);VVD;PVV (Partij voor de Vrijheid);GL;ChristenUnie;Democraten 66 (D66);Partij voor de Dieren;Staatkundig Gereformeerde Partij (SGP);ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamara's Open Partij
Aa en Hunze;G1680;10787;Drenthe;P22;19837;17032;;23;17009;2590;5745;2605;3617;594;822;372;266;255;20;67;34;;;14;;2;;2;4;;;;
Aalburg;G0738;11084;Noord-Brabant;P30;8936;7711;;5;7706;2765;637;582;699;411;59;887;29;94;1489;33;11;5;2;;1;1;0;0;0;1;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;18515;15535;;23;15512;5397;2230;1420;3622;938;480;663;241;283;57;89;32;37;8;7;;1;5;0;1;0;;;1
Aalten;G0197;11046;Gelderland;P25;20565;16919;;13;16906;6946;2899;3036;1624;542;421;956;154;194;29;52;13;15;2;8;3;4;3;4;1;;;;
Abcoude;G0305;10712;Utrecht;P26;6217;5503;;5;5498;1701;808;489;1403;190;374;166;193;102;32;23;5;5;1;5;0;0;;0;0;1;;;
Achtkarspelen;G0059;10199;Fryslân;P21;21513;17633;;14;17619;6119;4522;2651;1073;536;332;1953;52;162;134;44;13;6;4;7;;2;5;;4;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;13627;11424;;11;11413;2634;2338;1529;1074;669;201;1101;182;132;1389;101;36;10;5;9;2;1;;0;0;0;;;
Albrandswaard;G0613;10124;Zuid-Holland;P28;16158;13493;;17;13476;3640;2080;1634;2917;1312;353;503;226;268;150;313;48;9;9;4;3;5;;1;1;0;;;
Alkemade;G0483;10349;Zuid-Holland;P28;10909;9480;;8;9472;4059;1221;1056;1875;484;307;108;111;129;10;61;37;;4;0;4;3;;2;0;1;;;
Alkmaar;G0361;10527;Noord-Holland;P27;71192;56943;;80;56863;11008;13433;12487;7939;3220;3952;1350;1346;1262;59;364;123;87;41;33;;21;93;22;19;4;;;
Almelo;G0141;11053;Overijssel;P23;53184;40792;;30;40762;10678;10692;7211;4690;2293;1313;1801;1154;478;89;146;60;69;17;20;;5;32;11;;3;;;
Almere;G0034;10018;Flevoland;P24;124406;95274;;192;95082;16448;24240;16491;17371;8075;4220;2650;1651;2340;100;660;290;264;77;55;;31;68;20;26;5;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;52905;42202;;88;42114;11909;7605;6179;7659;2251;1811;2237;829;741;439;261;83;;27;31;20;6;;13;11;2;;;
Alphen-Chaam;G1723;10710;Noord-Brabant;P30;7179;5996;;1;5995;2808;708;762;1015;322;134;47;63;73;0;18;13;12;6;;1;8;0;2;3;0;;;
Ambt Montfort;G1679;10456;Limburg;P31;8620;7089;;8;7081;2411;1193;1217;703;1061;194;63;37;115;6;26;14;15;14;11;;0;;;1;;;;
Ameland;G0060;11153;Fryslân;P21;2614;2446;;0;2446;991;491;255;419;86;90;46;24;30;4;3;3;3;0;0;;0;1;;0;;;;
Amersfoort;G0307;10948;Utrecht;P26;100205;82033;;122;81911;19514;16987;12543;12729;3714;5476;5760;2149;1557;617;390;135;89;61;23;110;13;;25;15;4;;;
Amstelveen;G0362;10799;Noord-Holland;P27;57040;47544;;70;47474;11094;9601;5539;11280;2122;3029;1216;1499;1394;75;275;67;140;41;23;;10;19;20;24;1;;;5
Amsterdam;G0363;11150;Noord-Holland;P27;529314;393696;;2624;391072;37498;117818;72249;54533;17456;48857;6010;17507;13547;324;2344;660;665;220;245;;92;256;184;233;57;185;132;
Andijk;G0364;10822;Noord-Holland;P27;4915;4157;;8;4149;1375;597;577;681;219;132;312;36;108;46;35;15;10;3;1;;0;1;0;1;0;;;
Anna Paulowna;G0366;10344;Noord-Holland;P27;10486;8545;;10;8535;2687;1412;1273;1845;490;241;195;100;146;18;51;28;19;5;5;;10;4;2;1;3;;;
Apeldoorn;G0200;11075;Gelderland;P25;119022;97585;;115;97470;24543;21398;15560;14693;4621;4022;5133;2115;2085;2364;413;180;111;40;43;42;37;35;17;18;;;;
Appingedam;G0003;10886;Groningen;P20;9634;7705;;14;7691;1384;2839;1620;691;255;235;401;106;89;13;17;19;7;6;4;;3;;2;0;;;;
Arcen en Velden;G0885;10202;Limburg;P31;6668;5438;;8;5430;2319;741;813;617;640;126;40;39;53;0;13;8;11;2;3;;3;;;2;;;;
Arnhem;G0202;10795;Gelderland;P25;107878;80836;;162;80674;14071;20686;18111;10134;3752;6121;2268;2580;1884;97;337;107;90;21;37;280;14;35;23;26;;;;
Assen;G0106;10522;Drenthe;P22;47786;39353;;45;39308;6721;12126;7265;4789;1293;1881;3645;606;593;141;140;79;;;13;;8;;6;2;;;;
Asten;G0743;10478;Noord-Brabant;P30;12357;10280;;13;10267;4705;1327;1737;1301;590;215;86;104;96;7;57;23;13;;4;;1;;1;0;0;;;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;5199;4022;;2;4020;1820;531;606;535;252;101;35;36;70;0;22;8;2;0;;0;2;0;0;0;0;;;
Baarn;G0308;11411;Utrecht;P26;18399;15505;;35;15470;4245;2619;1920;3246;768;848;734;420;420;103;70;34;22;6;6;1;1;;4;3;0;;;
Barendrecht;G0489;10943;Zuid-Holland;P28;31232;26198;;35;26163;7289;3984;3093;4935;2189;758;1281;405;476;1059;548;75;19;14;18;13;2;;5;0;0;;;
Barneveld;G0203;10906;Gelderland;P25;36024;31553;;22;31531;12400;2275;1896;3328;1210;367;3818;241;241;5547;103;37;12;9;18;6;6;5;8;4;;;;
Bedum;G0005;10425;Groningen;P20;7924;6895;;8;6887;2174;1560;933;538;160;306;975;76;71;55;17;7;5;5;4;;1;;0;0;;;;
Beek;G0888;11374;Limburg;P31;13079;10647;;11;10636;3124;2042;1929;1282;1374;385;121;126;144;4;30;26;23;9;15;;1;;;1;;;;
Beemster;G0370;10816;Noord-Holland;P27;6450;5541;;13;5528;1607;928;737;1388;286;238;57;92;134;6;25;13;9;0;0;;3;4;0;1;0;;;
Beesel;G0889;10195;Limburg;P31;10347;7920;;9;7911;2384;1492;1349;862;1305;191;84;52;99;11;31;15;13;14;5;;2;;;2;;;;
Bellingwedde;G0007;10340;Groningen;P20;7487;6088;;2;6086;830;2354;1303;660;277;213;179;44;153;13;17;14;11;11;5;;0;;0;2;;;;
Bennebroek;G0372;10734;Noord-Holland;P27;3991;3488;;7;3481;1171;493;305;957;99;169;83;74;92;4;19;3;2;3;2;;0;2;1;2;0;;;0
Bergambacht;G0491;10962;Zuid-Holland;P28;7026;6161;;7;6154;1690;1150;554;998;295;124;446;61;105;655;45;20;;4;4;1;1;;1;0;0;;;
Bergeijk;G1724;11160;Noord-Brabant;P30;13574;11203;;12;11191;5135;1343;1887;1533;670;204;112;92;101;5;38;22;21;;7;;15;;1;4;1;;;
Bergen;G0893;11281;Limburg;P31;10279;7834;;6;7828;3111;1319;1463;784;733;161;48;59;94;3;29;8;4;7;4;;1;;;0;;;;
Bergen;G0373;11424;Noord-Holland;P27;24477;20811;;19;20792;5313;3543;2973;4740;1146;1421;276;459;638;11;147;31;23;24;14;;7;16;7;1;2;;;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;48688;36940;;35;36905;9433;7628;7470;5976;2933;1122;530;759;569;47;211;110;39;16;;12;12;22;4;8;4;;;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;11382;9745;;9;9736;3386;1158;857;2195;763;292;506;144;162;53;151;60;;0;4;2;1;;1;0;1;;;
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;15113;12936;;21;12915;4786;1558;1180;2370;819;424;964;217;211;84;188;82;;6;15;2;3;;2;4;0;;;
Berkelland;G1859;10436;Gelderland;P25;34671;29065;;19;29046;9707;6794;4716;4486;1056;803;563;339;323;41;80;60;22;6;14;7;6;10;6;7;;;;
Bernheze;G1721;10149;Noord-Brabant;P30;22134;18067;;31;18036;7364;2351;4063;2335;910;401;144;162;170;4;69;34;16;;4;;1;;5;3;0;;;
Bernisse;G0568;10316;Zuid-Holland;P28;9860;8278;;13;8265;2412;1284;1132;1576;820;192;307;104;151;77;148;35;14;2;9;0;2;;0;0;0;;;
Best;G0753;10442;Noord-Brabant;P30;21324;17304;;23;17281;5859;2880;3161;2864;939;433;409;313;214;33;67;42;41;;12;;6;;3;4;1;;;
Beuningen;G0209;10417;Gelderland;P25;18789;15187;;14;15173;4673;3113;3259;2169;781;480;178;178;183;12;66;35;20;12;9;;0;;3;2;0;;;
Beverwijk;G0375;10272;Noord-Holland;P27;27565;21455;;25;21430;4991;4782;4202;3304;1614;955;332;460;466;14;131;46;33;33;16;;6;16;5;8;2;;;14
Binnenmaas;G0585;10222;Zuid-Holland;P28;15297;13020;;22;12998;3585;2104;1631;2392;1000;395;616;167;220;635;185;39;12;8;2;0;2;;4;0;1;;;
Bladel;G1728;11006;Noord-Brabant;P30;14392;11465;;16;11449;5115;1498;2227;1402;582;219;80;79;96;9;42;31;24;;6;;36;;2;1;0;;;
Blaricum;G0376;10493;Noord-Holland;P27;7034;6224;;8;6216;1718;899;682;1851;258;257;138;161;182;7;32;4;10;7;3;;0;0;0;6;0;;;1
Bleiswijk;G0495;10994;Zuid-Holland;P28;7511;6596;;9;6587;2422;768;566;1409;454;142;377;74;100;101;127;33;;5;7;1;1;;0;0;0;;;
Bloemendaal;G0377;10850;Noord-Holland;P27;12562;11226;;9;11217;2979;1512;808;3740;313;716;234;489;301;13;55;3;16;7;3;;3;7;16;0;1;;;1
Boarnsterhim;G0055;10815;Fryslân;P21;14622;12540;;10;12530;2616;4177;2128;2006;342;528;320;179;140;20;30;15;6;10;8;;1;2;;2;;;;
Bodegraven;G0497;11091;Zuid-Holland;P28;14130;11809;;13;11796;4279;1700;1077;1803;626;368;940;128;139;641;64;16;;2;7;0;0;;2;2;2;;;
Boekel;G0755;10432;Noord-Brabant;P30;6903;5641;;6;5635;2812;661;1005;578;269;115;37;41;50;5;32;18;6;;2;;2;;0;1;1;;;
Bolsward;G0064;10865;Fryslân;P21;7331;6144;;9;6135;2125;1566;1153;484;199;188;248;60;55;12;19;9;6;3;1;;0;7;;0;;;;
Borger-Odoorn;G1681;10448;Drenthe;P22;20508;17114;;15;17099;3318;5866;2829;2458;729;550;736;192;285;34;53;26;;;13;;2;;4;4;;;;
Borne;G0147;10326;Overijssel;P23;15128;12982;;8;12974;5002;2738;2021;1547;557;393;311;197;112;17;36;20;9;2;3;;2;5;2;;0;;;
Borsele;G0654;10043;Zeeland;P29;16552;13788;;12;13776;4666;1870;1852;1555;658;327;522;111;265;1816;67;26;25;;11;;3;;;2;;;;
Boskoop;G0499;10419;Zuid-Holland;P28;11123;9504;;13;9491;3363;1251;1022;1736;508;333;582;155;141;304;66;11;;4;5;5;2;;2;1;0;;;
Boxmeer;G0756;11227;Noord-Brabant;P30;21561;18148;;16;18132;7179;2693;4255;2081;792;447;197;166;199;8;60;25;24;;3;;1;;1;1;0;;;
Boxtel;G0757;10083;Noord-Brabant;P30;22666;17996;;22;17974;5685;3603;3841;2299;950;684;254;282;220;7;73;34;13;;12;;8;;1;5;3;;;
Breda;G0758;10154;Noord-Brabant;P30;129388;99945;;139;99806;25038;20350;20065;17421;5616;4903;1397;2168;1703;91;540;201;108;60;;20;32;45;20;17;11;;;
Breukelen;G0311;10807;Utrecht;P26;10783;9341;;14;9327;3058;1235;851;1910;429;416;570;205;144;424;43;9;14;5;5;2;3;;1;2;1;;;
Briefstemmen;G9999;;Zuid-Holland;P28;32126;28545;;375;28170;5905;4523;2460;7912;875;3096;985;1321;504;116;233;73;74;9;15;1;16;;48;2;2;;;
Brielle;G0501;10232;Zuid-Holland;P28;12284;10023;;18;10005;2342;1738;1728;2150;935;286;226;154;191;27;146;48;18;3;5;0;4;;1;3;0;;;
Bronckhorst;G1876;11159;Gelderland;P25;29085;24479;;12;24467;9504;4753;3518;3737;781;680;560;294;339;131;85;47;10;8;9;2;3;4;2;0;;;;
Brummen;G0213;10798;Gelderland;P25;16241;13429;;27;13402;3280;3702;2388;2114;597;488;240;244;194;34;57;17;12;9;9;4;1;9;2;1;;;;
Brunssum;G0899;10533;Limburg;P31;23385;17999;;22;17977;3664;4532;4567;1458;2301;487;356;108;309;25;56;32;48;16;9;;1;;;8;;;;
Bunnik;G0312;10820;Utrecht;P26;10687;9579;;17;9562;3312;1654;1061;1569;362;741;276;234;158;97;54;16;12;4;2;3;6;;0;1;0;;;
Bunschoten;G0313;11343;Utrecht;P26;14084;12578;;12;12566;6231;538;409;764;460;109;3628;52;57;269;28;9;4;5;0;0;0;;3;0;0;;;
Buren;G0214;11286;Gelderland;P25;19466;16335;;11;16324;4308;3494;1866;3313;1007;491;493;247;308;653;92;29;6;6;4;;2;;3;2;0;;;
Bussum;G0381;10281;Noord-Holland;P27;23435;19732;;38;19694;4726;3440;2415;4873;840;1278;569;687;579;65;100;45;24;9;4;;5;7;14;9;2;;;3
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;49669;39127;;54;39073;8749;8385;5592;5871;3205;1216;1740;587;868;1925;725;125;;24;20;12;10;;2;13;4;;;
Castricum;G0383;11287;Noord-Holland;P27;26506;23314;;28;23286;6783;4253;3161;4841;1030;1494;398;494;491;19;157;45;41;41;12;;9;8;1;7;1;;;
Coevorden;G0109;10383;Drenthe;P22;27828;23011;;17;22994;5763;6918;3369;3914;946;687;670;240;294;54;71;37;;;17;;7;;4;3;;;;
Cranendonck;G1706;10219;Noord-Brabant;P30;15615;12337;;16;12321;4931;1892;2192;1665;811;238;150;119;194;4;64;26;24;;4;;4;;1;1;1;;;
Cromstrijen;G0611;11346;Zuid-Holland;P28;10085;8651;;6;8645;2255;1645;1118;1662;553;206;360;103;125;473;102;28;2;8;2;0;2;;0;0;1;;;
Cuijk;G1684;10023;Noord-Brabant;P30;17996;14489;;22;14467;4745;2675;3498;1688;687;500;96;281;175;5;55;37;14;;6;;1;;3;1;0;;;
Culemborg;G0216;10342;Gelderland;P25;19542;16102;;18;16084;3732;3679;2551;2583;1085;1086;513;344;246;131;77;16;15;8;6;;4;;4;4;0;;;
Dalfsen;G0148;11007;Overijssel;P23;19804;17237;;12;17225;7638;2536;1784;1894;507;341;1857;142;159;255;54;38;6;2;8;;1;3;0;;0;;;
Dantumadeel;G0065;10650;Fryslân;P21;14800;12221;;12;12209;4135;2819;1795;621;377;243;1558;59;92;441;30;18;2;1;13;;0;3;;2;;;;
De Bilt;G0310;10168;Utrecht;P26;32089;27994;;38;27956;7189;4642;3443;5976;1156;1869;1164;887;640;729;148;27;32;18;10;4;3;;12;6;1;;;
De Marne;G1663;10180;Groningen;P20;8387;6913;;8;6905;1617;1815;1181;763;240;321;666;71;158;28;20;12;4;4;1;;3;;0;1;;;;
De Ronde Venen;G0736;11379;Utrecht;P26;25647;21784;;25;21759;8240;2582;2004;4999;1132;628;899;354;382;283;138;40;27;19;8;7;3;;7;6;1;;;
De Wolden;G1690;10262;Drenthe;P22;18071;15475;;11;15464;4490;3404;1822;3459;494;513;626;209;283;65;54;29;;;8;;3;;5;0;;;;
Delft;G0503;10928;Zuid-Holland;P28;71353;57903;;139;57764;11447;13668;9783;8340;3177;4620;1927;2409;1292;261;476;115;64;41;21;33;14;;44;30;2;;;
Delfzijl;G0010;10976;Groningen;P20;21373;16702;;36;16666;3205;5672;3233;1664;644;461;1076;302;228;20;77;27;18;19;12;;5;;1;2;;;;
Den Helder;G0400;10285;Noord-Holland;P27;45124;33398;;49;33349;7611;6560;6065;6297;2576;1034;1418;386;750;156;192;138;65;12;19;;16;33;11;8;2;;;
Deurne;G0762;10379;Noord-Brabant;P30;24183;19194;;24;19170;8335;2720;3511;2255;1217;455;153;154;193;12;74;45;25;;7;;4;;7;2;1;;;
Deventer;G0150;10899;Overijssel;P23;70966;58108;;61;58047;11790;16658;11166;7371;2452;3682;1847;1609;909;68;234;86;60;24;23;;13;34;16;;5;;;
Diemen;G0384;11039;Noord-Holland;P27;17566;13861;;19;13842;2333;3445;2309;2645;975;941;278;309;394;15;102;27;31;7;12;;4;3;5;1;2;;;4
Dinkelland;G1774;10245;Overijssel;P23;19185;16688;;16;16672;10109;1862;1535;1785;596;290;195;94;107;10;36;19;10;5;2;;5;7;2;;3;;;
Dirksland;G0504;11344;Zuid-Holland;P28;6219;5281;;3;5278;1340;783;621;516;333;75;442;32;72;994;38;12;6;3;8;1;0;;1;1;0;;;
Doesburg;G0221;10327;Gelderland;P25;8688;6986;;14;6972;1449;1740;1778;818;290;252;198;253;113;14;30;15;3;2;2;12;1;1;1;0;;;;
Doetinchem;G0222;10396;Gelderland;P25;42708;33862;;23;33839;9578;8007;6453;4454;1373;1336;934;635;533;247;138;61;26;12;13;10;6;10;6;7;;;;
Dongen;G0766;11412;Noord-Brabant;P30;19017;15227;;34;15193;4915;2714;3328;2119;849;394;275;248;200;20;41;38;15;10;;8;7;7;2;1;2;;;
Dongeradeel;G0058;10198;Fryslân;P21;18484;15543;;8;15535;6531;2843;2321;1031;457;424;1488;101;161;94;37;24;5;4;6;;3;5;;0;;;;
Dordrecht;G0505;11157;Zuid-Holland;P28;87814;68300;;89;68211;13365;15420;12849;9116;4814;2873;3783;1673;1489;1550;635;184;230;42;30;104;21;;8;16;9;;;
Drechterland;G0498;10642;Noord-Holland;P27;13957;11896;;18;11878;4170;1658;1733;2461;703;448;165;162;203;8;71;29;30;11;4;;6;8;2;5;1;;;
Drimmelen;G1719;10258;Noord-Brabant;P30;20546;16644;;31;16613;5384;3035;3194;2471;1244;408;214;207;241;19;106;49;25;7;;0;3;3;1;1;1;;;
Dronten;G0303;10210;Flevoland;P24;27029;22473;;31;22442;7932;3194;2656;4166;1101;647;1726;341;332;127;86;52;35;10;14;;3;11;0;7;2;;;
Druten;G0225;10068;Gelderland;P25;13402;10723;;7;10716;3388;2254;2245;1448;538;306;97;191;118;10;59;21;17;13;4;;3;;1;1;2;;;
Duiven;G0226;11028;Gelderland;P25;18656;15539;;18;15521;5186;2995;2722;2396;722;579;330;192;238;17;56;53;10;5;5;2;2;3;3;5;;;;
Echt-Susteren;G1711;10941;Limburg;P31;25162;19941;;27;19914;6186;3962;3708;1904;2675;596;200;118;352;9;72;48;42;15;18;;7;;;2;;;;
Edam-Volendam;G0385;10884;Noord-Holland;P27;21413;17806;;36;17770;8576;1769;1406;3214;1425;460;236;152;298;12;115;54;22;13;4;;4;5;2;3;0;;;
Ede;G0228;10743;Gelderland;P25;78848;66639;;59;66580;21828;9130;6088;8875;2526;2249;7135;1002;865;6290;255;117;69;14;30;50;26;12;8;11;;;;
Eemnes;G0317;10248;Utrecht;P26;6478;5683;;6;5677;1824;799;715;1210;310;240;239;103;145;37;28;13;3;2;2;0;0;;3;4;0;;;
Eemsmond;G1651;10246;Groningen;P20;12732;10647;;23;10624;2509;3230;1762;937;277;383;1178;70;144;67;22;18;7;6;5;;6;;2;1;;;;
Eersel;G0770;10741;Noord-Brabant;P30;13603;11219;;15;11204;5211;1309;1830;1569;498;273;127;139;120;5;63;29;11;;4;;12;;2;1;1;;;
Eijsden;G0905;10314;Limburg;P31;8790;7271;;13;7258;2398;1558;1220;842;666;279;75;67;90;3;26;8;11;7;6;;1;;;1;;;;
Eindhoven;G0772;11298;Noord-Brabant;P30;158032;118050;;213;117837;27929;24163;27810;15997;6967;6063;2250;3008;2059;117;644;303;356;;39;;41;;44;36;11;;;
Elburg;G0230;11113;Gelderland;P25;16579;14273;;9;14264;5105;1539;1087;1384;436;220;2506;59;132;1702;33;25;14;6;4;1;1;3;2;5;;;;
Emmen;G0114;11180;Drenthe;P22;83949;67286;;56;67230;15090;24446;12199;6072;3126;1896;2478;584;795;122;235;127;;;24;;15;;16;5;;;;
Enkhuizen;G0388;10729;Noord-Holland;P27;13539;10897;;21;10876;2499;2357;2210;1642;655;471;379;193;242;117;48;29;10;3;5;;2;8;1;5;0;;;
Enschede;G0153;10364;Overijssel;P23;115937;89478;;130;89348;17895;26319;17100;10668;4666;4088;4204;2445;1140;151;314;120;71;29;33;;15;44;37;;9;;;
Epe;G0232;10940;Gelderland;P25;25643;21047;;16;21031;6076;4553;2648;3556;959;609;1118;343;397;614;74;39;12;7;9;1;3;9;2;2;;;;
Ermelo;G0233;10732;Gelderland;P25;19863;16681;;13;16668;6837;1716;1500;2090;608;484;2135;123;267;751;93;32;7;2;2;1;3;6;3;8;;;;
Etten-Leur;G0777;10750;Noord-Brabant;P30;30205;23234;;37;23197;6739;4712;4337;3729;1663;675;359;369;324;15;147;68;28;6;;4;6;10;0;4;2;;;
Ferwerderadiel;G1722;11284;Fryslân;P21;6769;5558;;3;5555;2176;1046;869;498;170;166;469;34;83;14;14;5;2;7;0;;0;1;;1;;;;
Franekeradeel;G0070;10404;Fryslân;P21;15706;12690;;20;12670;3932;3212;2247;1259;494;437;742;93;157;23;37;14;9;6;3;;1;3;;1;;;;
Gaasterlân-Sleat;G0653;10036;Fryslân;P21;7853;6689;;4;6685;2829;1070;903;728;257;231;329;56;94;128;36;15;4;1;2;;0;1;;1;;;;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;16194;12645;;18;12627;3506;2665;2818;1817;959;296;144;102;178;20;56;27;19;2;;1;13;2;0;2;0;;;
Geldermalsen;G0236;10881;Gelderland;P25;19374;16713;;17;16696;5131;2891;1812;3016;980;475;513;217;228;1296;82;28;12;4;5;;4;;1;1;0;;;
Geldrop-Mierlo;G1771;10529;Noord-Brabant;P30;28773;22894;;47;22847;7385;3715;5128;3015;1474;860;363;314;341;12;106;49;52;;13;;1;;10;7;2;;;
Gemert-Bakel;G1652;10277;Noord-Brabant;P30;21125;16703;;22;16681;7160;2429;3386;1805;1009;367;110;108;176;10;58;17;33;;5;;2;;3;2;1;;;
Gennep;G0907;10542;Limburg;P31;12982;9897;;9;9888;3610;1884;1965;1094;564;244;88;245;129;1;39;8;1;7;5;;3;;;1;;;;
Giessenlanden;G0689;10255;Zuid-Holland;P28;10842;9719;;5;9714;3196;1548;1002;1642;435;174;1014;83;117;383;76;18;10;3;7;1;0;;2;2;1;;;
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;18917;15547;;12;15535;4986;3055;3046;2127;1120;415;153;270;189;11;80;29;26;5;;2;4;9;4;2;2;;;
Goedereede;G0511;10981;Zuid-Holland;P28;8941;7890;;10;7880;2555;831;600;1060;410;98;541;41;97;1565;54;18;5;2;2;0;1;;0;0;0;;;
Goes;G0664;10674;Zeeland;P29;28223;22801;;32;22769;6439;4244;3716;2925;1000;883;1164;303;494;1421;106;32;29;;9;;2;;;2;;;;
Goirle;G0785;10971;Noord-Brabant;P30;17170;13869;;8;13861;4306;2657;2842;2058;828;524;111;192;186;4;102;27;7;6;;0;1;4;4;2;0;;;
Gorinchem;G0512;10942;Zuid-Holland;P28;24877;19449;;39;19410;4281;4666;3468;2787;1075;675;1099;505;315;315;134;27;17;13;9;11;4;;3;4;2;;;
Gouda;G0513;10302;Zuid-Holland;P28;51738;42823;;73;42750;9181;9798;6294;5490;3181;2336;2660;838;836;1571;378;86;;25;28;6;11;;16;7;8;;;
Graafstroom;G0693;10451;Zuid-Holland;P28;6881;6210;;2;6208;2431;530;363;577;206;98;969;21;43;934;21;6;1;0;2;1;2;;2;0;1;;;
Graft-De Rijp;G0365;11417;Noord-Holland;P27;4945;4315;;8;4307;1231;740;670;983;214;203;35;88;92;0;23;8;7;1;1;;0;10;0;1;0;;;
Grave;G0786;10165;Noord-Brabant;P30;9429;7903;;7;7896;2544;1187;1947;1205;408;243;88;104;105;3;30;19;9;;2;;0;;2;0;0;;;
Groenlo;G0240;11094;Gelderland;P25;22494;18885;;21;18864;8730;2864;3244;2453;607;376;153;146;154;8;46;40;20;5;5;0;3;6;1;3;;;;
Groesbeek;G0241;10616;Gelderland;P25;14758;12014;;18;11996;3675;3107;2318;1244;583;510;125;125;211;8;34;23;9;7;10;;1;;2;2;2;;;
Groningen;G0014;10426;Groningen;P20;147115;118530;;241;118289;15839;34466;25371;14061;3006;11797;6404;3923;2324;207;459;132;90;59;40;;44;;50;17;;;;
Grootegast;G0015;11080;Groningen;P20;8930;7243;;7;7236;2916;1277;905;576;267;176;869;42;101;56;24;13;2;3;3;;1;;1;4;;;;
Gulpen-Wittem;G1729;11032;Limburg;P31;11693;9711;;9;9702;3256;1901;1689;910;1110;365;141;88;164;4;24;23;12;7;6;;0;;;2;;;;
Haaksbergen;G0158;11435;Overijssel;P23;18519;15677;;11;15666;6739;2804;2054;2060;820;415;248;258;145;5;47;34;10;4;7;;6;9;1;;0;;;
Haaren;G0788;11155;Noord-Brabant;P30;10265;8309;;7;8302;3703;1163;1197;1291;365;236;84;83;108;5;35;11;8;;5;;4;;2;0;2;;;
Haarlem;G0392;10357;Noord-Holland;P27;111414;88554;;153;88401;15550;20753;17970;13396;4472;7226;2059;2819;2857;125;487;135;244;64;34;;10;70;59;33;14;;;24
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;4082;3522;;2;3520;1066;523;436;791;254;174;64;69;79;8;24;12;6;3;2;;1;4;2;0;0;;;2
Haarlemmermeer;G0394;11387;Noord-Holland;P27;99636;80935;;124;80811;22238;13504;9969;19418;5349;3053;2461;1453;1737;481;597;210;126;49;40;;20;48;20;19;5;;;14
Haelen;G0914;10321;Limburg;P31;7635;6027;;10;6017;2079;896;989;825;749;186;83;47;100;5;18;16;14;4;1;;1;;;4;;;;
Halderberge;G1655;10397;Noord-Brabant;P30;22601;17374;;15;17359;5531;3202;3273;2754;1382;380;213;169;217;17;100;62;14;19;;4;6;9;4;3;0;;;
Hardenberg;G0160;10174;Overijssel;P23;43228;36628;;28;36600;14419;6471;4398;3316;1174;599;5022;208;296;410;100;87;37;8;14;;7;29;4;;1;;;
Harderwijk;G0243;10786;Gelderland;P25;31087;25575;;23;25552;9171;3662;2823;3604;1167;825;2734;454;373;485;132;40;30;5;21;9;2;6;4;5;;;;
Hardinxveld-Giessendam;G0523;10167;Zuid-Holland;P28;13044;11427;;11;11416;3242;1532;905;980;557;121;2002;49;95;1844;58;15;6;1;1;0;4;;1;2;1;;;
