RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);VVD;Anti-Revolutionaire Partij;Christelijk-Historische Unie;Boeren Partij;Democraten 66 (D66);Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Noodraad;Christen-Democratische Unie;Partij voor Ongehuwden;Landsbelangen;Liberale Volkspartij;Lijst Voogd;Lijst van Breukelen-Grein;Lijst-Machiela;Lijst-Germeaux;Partij van het Recht;CNVP;Lijst-Rodemond
Aalsmeer;G0358;11264;Noord-Holland;P27;9964;9706;143;;9563;1759;2088;1559;1471;1178;394;350;182;307;67;39;42;65;40;5;15;2;;;;;;
Aalten;G0197;11046;Gelderland;P25;9617;9165;243;;8922;1383;1198;504;3292;1828;418;75;36;55;20;31;18;37;18;3;4;2;;;;;;
Aardenburg;G0648;11020;Zeeland;P29;2167;2069;109;;1960;972;273;212;101;47;245;36;5;17;3;4;16;7;12;5;4;1;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;2124;2079;67;;2012;1393;160;123;34;35;118;65;19;18;2;3;20;8;3;6;2;3;;;;;;
Abbekerk;G0359;10439;Noord-Holland;P27;692;673;10;;663;227;170;85;40;30;41;21;15;27;1;;3;;2;;1;;;;;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;558;529;17;;512;12;185;123;50;58;22;18;15;13;6;;4;1;3;1;1;;;;;;;
Abcoude;G0305;10712;Utrecht;P26;3529;3406;60;;3346;782;405;532;419;572;118;253;38;82;70;8;11;29;14;6;5;1;;1;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;11808;11296;223;;11073;50;3026;430;4385;1601;376;114;279;179;122;401;39;35;13;10;8;1;;4;;;;
Adorp;G0001;10996;Groningen;P20;899;871;14;;857;12;183;102;327;56;68;7;5;12;;76;1;2;4;1;1;;;;;;;
Aduard;G0002;10999;Groningen;P20;1475;1452;20;;1432;14;392;234;396;81;74;26;18;32;2;136;5;6;4;9;3;;;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;1878;1825;34;;1791;1020;238;161;59;28;89;50;29;66;2;5;16;12;5;5;3;3;;;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;9261;8830;174;;8656;375;3255;698;919;1510;147;235;181;249;880;87;23;41;31;16;5;4;;;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;5211;5065;84;;4981;3543;141;220;315;154;241;181;23;43;11;4;30;43;17;6;5;2;2;;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;29788;28512;611;;27901;8093;7165;3493;1958;1329;776;1574;1319;1259;60;73;185;285;201;68;41;22;;;;;;
Almelo;G0141;11053;Overijssel;P23;33776;32569;900;;31669;7466;9649;2921;2895;2302;1573;1092;1783;1027;181;162;162;187;167;41;41;20;;;;;;
Almkerk;G0740;10788;Noord-Brabant;P30;2880;2801;34;;2767;28;293;41;1443;650;47;19;13;7;90;113;11;4;3;4;1;;;;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;17242;16601;320;;16281;2860;2821;1599;3042;3415;470;602;189;251;603;97;80;139;72;18;16;3;4;;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;2223;2174;57;;2117;1780;76;41;23;8;81;29;8;21;;2;19;9;11;6;;2;;1;;;;
Ambt Delden;G0142;11400;Overijssel;P23;2999;2903;26;;2877;1806;246;161;90;215;279;24;8;19;;5;8;6;4;4;1;1;;;;;;
Amby;G0883;10922;Limburg;P31;1930;1860;115;;1745;1058;239;112;28;8;90;70;19;39;1;2;13;12;17;6;4;2;;;25;;;
Ameide;G0485;11349;Zuid-Holland;P28;1286;1238;14;;1224;17;377;75;429;151;46;22;2;7;93;;1;1;;3;;;;;;;;
Ameland;G0060;11153;Fryslân;P21;1645;1564;14;;1550;474;391;154;181;199;48;19;11;34;4;5;9;4;11;3;;1;;2;;;;
Amerongen;G0306;11372;Utrecht;P26;3171;3024;73;;2951;102;759;300;357;782;134;81;24;47;308;12;17;11;6;7;2;1;;1;;;;
Amersfoort;G0307;10948;Utrecht;P26;45132;43188;1311;;41877;8441;10901;5694;4147;4410;1338;1972;1066;1187;602;1014;223;387;256;86;84;33;;36;;;;
Ammerstol;G0486;10863;Zuid-Holland;P28;781;750;13;;737;12;476;65;19;22;6;12;83;20;16;1;1;;3;1;;;;;;;;
Ammerzoden;G0198;10151;Gelderland;P25;1972;1897;35;;1862;1208;162;40;125;175;25;31;3;4;66;2;8;5;7;1;;;;;;;;
Amstelveen;G0362;10799;Noord-Holland;P27;35388;33663;513;;33150;6148;5716;7634;4051;2426;876;3508;579;1090;135;173;107;350;203;57;78;19;;;;;;
Amstenrade;G0884;10062;Limburg;P31;1987;1914;82;;1832;1143;259;114;48;18;84;59;26;26;3;4;14;2;4;3;4;1;20;;;;;
Amsterdam;G0363;11150;Noord-Holland;P27;573948;534317;13912;;520405;66633;142481;59481;34860;19755;23808;43316;76268;33136;1257;1702;3063;3663;6633;1363;1183;412;;;;;475;916
Andel;G0742;10871;Noord-Brabant;P30;916;873;8;;865;2;95;10;308;274;23;10;4;4;122;2;2;2;;6;;1;;;;;;
Andijk;G0364;10822;Noord-Holland;P27;2517;2441;38;;2403;423;436;79;792;57;227;42;151;92;48;16;4;25;10;;;1;;;;;;
Angerlo;G0199;11131;Gelderland;P25;1921;1863;27;;1836;954;233;53;99;295;113;26;5;7;3;1;23;15;5;2;1;1;;;;;;
Anloo;G0105;10787;Drenthe;P22;3737;3594;144;;3450;45;1613;830;171;107;415;50;78;64;3;18;15;8;10;20;3;;;;;;;
Anna Paulowna;G0366;10344;Noord-Holland;P27;4124;3968;52;;3916;1429;928;563;325;155;122;85;113;79;18;36;20;14;16;8;4;1;;;;;;
Apeldoorn;G0200;11075;Gelderland;P25;69972;66040;1604;;64436;8301;17066;7864;7343;10811;5241;2125;1013;1421;1440;378;353;552;278;106;95;49;;;;;;
Appeltern;G0201;11296;Gelderland;P25;2145;2068;44;;2024;1609;44;25;35;120;128;18;7;12;2;;12;1;6;4;1;;;;;;;
Appingedam;G0003;10886;Groningen;P20;6014;5717;186;;5531;110;2085;564;979;855;157;107;307;189;8;63;28;26;35;15;3;;;;;;;
Arcen en Velden;G0885;10202;Limburg;P31;3293;3219;85;;3134;2534;132;145;30;15;140;45;14;26;;;20;4;17;7;4;;;;1;;;
Arkel;G0487;10079;Zuid-Holland;P28;1515;1487;28;;1459;45;734;261;189;96;25;28;12;16;32;3;3;6;3;3;3;;;;;;;
Arnemuiden;G0649;11419;Zeeland;P29;1720;1597;46;;1551;23;305;47;256;289;35;11;6;19;520;17;8;5;6;3;;1;;;;;;
