RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Evangelische Volkspartij;SP (Socialistische Partij);Rooms Katholieke Partij Nederland;Rechtse Volkspartij;CP;Nederlandse Volks Unie (NVU);Leefbaar Nederland;Samen Overleven of Sterven;Realisten 81;Internationale Kommunistenbond;God Met Ons;Wereld Welzijns Bewustwording;Partij tot Likwidatie van Nederland;De Vrede Partij;Partij van Rijksgenoten;Kleine Partij;Nederlandse Evolutie Partij
Aalburg;G0738;11084;Noord-Brabant;P30;6720;5875;22;;5853;1927;909;686;361;19;23;1505;51;243;50;16;21;9;1;14;6;5;3;2;;1;;1;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;14199;12903;113;;12790;4382;2345;3507;1411;218;127;101;167;293;37;80;54;14;4;18;;;12;1;4;2;;;8;0;;3;2
Aalten;G0197;11046;Gelderland;P25;12248;10999;63;;10936;6321;1964;1086;726;77;24;39;199;228;69;27;125;11;10;17;2;4;2;1;2;2;0;0;;;;;
Aardenburg;G0648;11020;Zeeland;P29;2634;2334;12;;2322;956;498;538;219;27;14;8;26;2;2;3;2;2;7;14;;;3;;1;;;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;3569;3118;11;;3107;1563;625;418;340;40;11;3;56;;4;5;2;7;5;15;3;3;6;;;;;1;;;;;
Abcoude;G0305;10712;Utrecht;P26;5460;5104;24;;5080;1574;723;1605;561;120;61;72;94;53;32;40;37;9;13;5;14;59;6;;2;;;;;0;;;
Achtkarspelen;G0059;10199;Fryslân;P21;17836;16343;72;;16271;6487;5415;1105;888;132;168;209;198;841;534;33;190;13;7;28;1;9;4;;5;4;;;;;;;
Adorp;G0001;10996;Groningen;P20;1269;1200;3;;1197;387;274;202;90;14;5;3;50;31;110;1;20;2;;7;;1;;;;;;;;;;;
Aduard;G0002;10999;Groningen;P20;1928;1828;3;;1825;533;520;272;154;34;18;4;31;28;174;13;32;4;;4;2;1;;;;1;;;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;3318;3043;24;;3019;1186;527;630;433;48;46;1;72;8;8;13;12;4;14;5;2;;4;3;1;1;;1;;;;;
