RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Pacifistisch-Socialistische Partij (PSP);Staatkundig Gereformeerde Partij (SGP);Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);CP;Gereformeerd Politiek Verbond (GPV);Evangelische Volkspartij;SP (Socialistische Partij);Democratisch Socialisten '70;Rechtse Volkspartij;Rooms Katholieke Partij Nederland;God Met Ons;Nederlandse Volks Unie (NVU);Progressieve Partij voor Behoud van Milieu, Werk en Maatschappij;Kleine Partij
Aalburg;G0738;11084;Noord-Brabant;P30;6812;5823;19;;5804;879;1840;1002;133;27;1448;20;35;308;15;30;31;8;10;14;;4;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;14430;12461;82;;12379;2572;4011;4128;541;207;75;89;160;312;57;30;83;34;48;26;3;;;;3
Aalten;G0197;11046;Gelderland;P25;12464;10728;48;;10680;1989;5849;1592;275;104;21;19;178;261;19;48;244;25;17;27;10;2;;;
Aardenburg;G0648;11020;Zeeland;P29;2658;2198;11;;2187;454;875;642;116;25;6;8;19;4;5;3;9;8;4;7;2;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;3673;3041;16;;3025;650;1491;569;144;59;;24;48;1;3;;1;12;7;9;5;2;;;
Abcoude;G0305;10712;Utrecht;P26;5567;4963;18;;4945;864;1506;1831;238;109;65;56;69;46;26;39;63;4;19;6;4;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;18171;16219;68;;16151;5810;6170;1599;254;126;158;133;135;839;15;545;268;28;29;34;8;;;;
Adorp;G0001;10996;Groningen;P20;1273;1199;2;;1197;282;378;239;55;16;;7;48;31;2;114;19;;2;4;;;;;
Aduard;G0002;10999;Groningen;P20;1958;1780;3;;1777;559;520;320;56;25;4;19;24;22;6;178;38;;3;3;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;3371;2956;11;;2945;577;1131;809;167;78;;25;74;14;7;8;8;19;16;10;2;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;11895;9977;43;;9934;4023;1921;1562;372;181;1022;102;92;380;70;81;53;30;26;15;4;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;8987;7619;34;;7585;1017;3539;2179;270;151;20;28;192;34;39;;27;35;24;14;16;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;55614;44219;230;;43989;14288;9849;11123;2152;1959;56;1386;1070;387;628;139;212;361;196;122;61;;;;
Almelo;G0141;11053;Overijssel;P23;42957;35243;158;;35085;13803;10082;6393;1450;395;144;699;483;531;225;181;191;234;91;134;49;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;35944;29371;210;;29161;6697;8254;8790;1491;505;592;246;692;799;178;127;465;133;91;47;54;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;3951;3336;15;;3321;400;1874;779;138;37;1;11;38;2;8;;1;5;8;11;6;2;;;
Ambt Delden;G0142;11400;Overijssel;P23;3785;3510;19;;3491;343;2294;674;79;16;4;4;26;4;6;2;11;3;3;19;3;;;;
Ameide;G0485;11349;Zuid-Holland;P28;2020;1900;14;;1886;542;705;256;51;13;170;6;20;86;10;10;5;1;7;4;;;;;
Ameland;G0060;11153;Fryslân;P21;2177;2608;6;;2602;671;1039;602;84;47;3;10;37;28;2;35;23;2;4;12;3;;;;
Amerongen;G0306;11372;Utrecht;P26;4574;4024;21;;4003;990;1136;1088;107;34;389;11;32;107;16;12;34;11;15;20;1;;;;
Amersfoort;G0307;10948;Utrecht;P26;63086;51512;190;;51322;14953;13987;12890;2307;1158;708;750;820;704;312;1521;526;178;255;175;78;;;;
Ammerstol;G0486;10863;Zuid-Holland;P28;1165;1074;10;;1064;595;85;219;64;16;16;39;6;6;4;;7;2;2;3;;;;;
Ammerzoden;G0198;10151;Gelderland;P25;2797;2374;9;;2365;452;1219;441;74;21;52;12;17;25;8;4;9;17;4;6;4;0;;;
Amstelveen;G0362;10799;Noord-Holland;P27;53233;45140;170;;44970;10815;10387;16650;2363;1347;110;654;944;373;332;93;409;79;320;48;38;;;;8
Amsterdam;G0363;11150;Noord-Holland;P27;516923;378200;1439;;376761;155417;49076;75298;14262;20460;545;32896;7319;1842;10716;563;1761;1482;2633;826;444;;971;250;
Andijk;G0364;10822;Noord-Holland;P27;3936;3349;18;;3331;754;1234;652;106;92;39;99;35;179;15;7;53;10;18;34;4;;;;
Angerlo;G0199;11131;Gelderland;P25;2999;2627;5;;2622;758;1074;505;149;32;1;14;43;3;9;;8;5;3;10;8;0;;;
Anloo;G0105;10787;Drenthe;P22;5023;4489;16;;4473;2053;282;1621;210;92;1;65;55;15;7;18;20;11;10;11;2;;;;
Anna Paulowna;G0366;10344;Noord-Holland;P27;6987;5889;36;;5853;1318;1655;2234;236;60;12;58;83;56;23;45;17;6;36;10;4;;;;
Apeldoorn;G0200;11075;Gelderland;P25;102268;84203;231;;83972;25395;22835;22519;3821;1279;1933;550;1318;1757;356;449;799;297;280;289;69;26;;;
Appeltern;G0201;11296;Gelderland;P25;2988;2635;9;;2626;461;1576;360;86;38;4;9;32;5;9;2;4;14;4;16;6;0;;;
Appingedam;G0003;10886;Groningen;P20;9211;7716;41;;7675;3593;1827;1139;259;104;17;241;71;119;24;122;88;38;21;9;3;;;;
Arcen en Velden;G0885;10202;Limburg;P31;5681;4708;14;;4694;688;2497;1078;197;98;;26;53;;3;1;7;21;3;7;14;1;;;
Arkel;G0487;10079;Zuid-Holland;P28;2247;1986;6;;1980;942;334;478;78;29;15;15;15;32;16;1;11;3;4;7;;;;;
Arnemuiden;G0649;11419;Zeeland;P29;2676;2198;13;;2185;425;436;339;58;13;558;11;11;283;5;13;21;4;7;1;;;;;
