RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP (Socialistische Partij);Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer
Aalburg;G0738;11084;Noord-Brabant;P30;7258;6478;19;;6459;2692;1017;670;164;1504;42;26;88;187;13;8;1;15;13;6;1;6;;;1;1;1;2;;1;;
Aalsmeer;G0358;11264;Noord-Holland;P27;15775;14148;30;;14118;6046;2694;3841;811;79;136;106;84;136;16;40;10;23;23;29;15;9;7;;4;5;;4;;;;
Aalten;G0197;11046;Gelderland;P25;13046;11645;34;;11611;6655;2634;1219;374;25;196;62;62;216;11;12;8;71;8;21;5;3;;;17;2;2;2;5;1;;
Aardenburg;G0648;11020;Zeeland;P29;2669;2325;14;;2311;910;612;629;95;6;18;11;4;;5;3;;3;5;3;4;2;1;;;;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;3866;3465;4;;3461;1828;922;463;143;;38;16;1;8;6;5;4;1;9;11;1;2;;;;;3;;;0;;
Abcoude;G0305;10712;Utrecht;P26;5539;5185;23;;5162;1901;898;1654;352;59;59;62;45;30;16;12;8;12;12;18;5;7;;;10;;;;1;0;1;
Achtkarspelen;G0059;10199;Fryslân;P21;18974;17498;60;;17438;7315;6631;1108;494;198;126;74;630;616;33;18;19;97;10;20;13;3;5;;22;4;;2;;;;
Adorp;G0001;10996;Groningen;P20;1315;1219;2;;1217;433;318;191;69;2;38;11;120;16;4;5;;5;2;2;;;;;1;;;;;;;
Aduard;G0002;10999;Groningen;P20;2060;1947;4;;1943;621;684;276;87;2;31;17;191;8;5;1;6;6;;1;2;1;2;;;;;2;;;;
Akersloot;G0360;10346;Noord-Holland;P27;3621;3307;5;;3302;1535;630;705;286;3;45;22;11;12;11;7;3;2;11;7;6;3;2;;;1;;;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;12317;10842;32;;10810;2748;4601;1223;502;1083;86;78;129;204;25;34;3;25;12;18;15;7;3;;7;2;;5;;;;
Albrandswaard;G0613;10124;Zuid-Holland;P28;10652;9291;27;;9264;3089;2481;2415;584;192;77;54;68;70;27;46;23;27;22;42;7;12;4;;7;10;;7;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;9620;8642;8;;8634;4874;1299;1681;377;14;154;77;7;17;20;18;4;22;15;15;18;3;1;10;1;7;;;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;61655;51933;118;;51815;15018;18933;9294;4003;60;885;1192;278;294;645;226;219;89;233;128;121;92;27;;14;30;;34;;;;
Almelo;G0141;11053;Overijssel;P23;43802;38580;124;;38456;12566;16754;5184;1875;117;332;203;266;328;277;136;154;65;49;47;34;34;4;;17;10;;;;4;;
Almere;G0034;10018;Flevoland;P24;31247;25851;37;;25814;4378;11595;5005;2731;23;343;290;102;75;394;404;131;45;53;93;45;32;25;;8;29;;13;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;38994;33336;76;;33260;11711;8194;8148;2356;570;473;275;272;515;69;86;237;133;38;44;39;23;7;34;19;17;;;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;4304;3943;14;;3929;2308;637;709;176;;27;27;5;3;4;5;1;;4;6;7;1;;;1;2;4;1;1;0;;
Ambt Delden;G0142;11400;Overijssel;P23;3928;3722;6;;3716;2595;421;546;87;;13;12;11;5;1;5;2;5;2;4;1;3;;;;1;;;;2;;
Ameland;G0060;11153;Fryslân;P21;2276;2806;8;;2798;1192;806;485;158;;42;21;24;22;15;5;6;10;;2;1;1;;;4;1;;3;;;;
Amerongen;G0306;11372;Utrecht;P26;4801;4384;8;;4376;1610;1042;913;203;366;42;22;10;93;7;9;3;15;10;9;7;5;;;1;3;;;3;3;0;
Amersfoort;G0307;10948;Utrecht;P26;66634;57127;190;;56937;19461;17218;10456;3705;769;1066;799;1826;412;350;180;103;161;108;79;68;88;10;;24;15;;;21;6;12;
Ammerzoden;G0198;10151;Gelderland;P25;2962;2664;13;;2651;1556;545;330;75;53;20;11;4;16;2;4;5;5;7;8;4;3;;;;1;1;1;;0;;
Amstelveen;G0362;10799;Noord-Holland;P27;54085;47807;216;;47591;13696;11290;15417;4259;129;660;668;191;251;213;199;67;117;144;82;57;90;16;;15;14;;16;;;;
Amsterdam;G0363;11150;Noord-Holland;P27;508994;392444;1400;;391044;61847;184953;62044;32821;546;7522;13257;952;1116;11109;5934;1021;762;1462;740;553;2350;1062;;95;326;;128;202;;180;62
Andijk;G0364;10822;Noord-Holland;P27;4055;3692;9;;3683;1660;914;522;182;46;44;35;19;162;50;6;2;7;12;5;5;2;6;;4;;;;;;;
Angerlo;G0199;11131;Gelderland;P25;3144;2865;6;;2859;1364;947;296;164;2;23;22;4;5;3;7;3;4;1;2;8;1;;;;;0;2;;1;;
Anloo;G0105;10787;Drenthe;P22;5308;4903;8;;4895;544;2327;1461;316;1;57;72;33;15;26;;9;9;5;8;8;2;1;;;1;;;;;;
Anna Paulowna;G0366;10344;Noord-Holland;P27;7234;6484;7;;6477;2398;1488;1866;413;8;71;36;61;41;22;11;4;8;10;13;11;5;2;;2;6;;1;;;;
Apeldoorn;G0200;11075;Gelderland;P25;106845;92772;222;;92550;31693;29262;18511;6014;2021;1046;664;708;1158;215;218;126;263;140;95;152;94;35;;48;36;;;26;12;13;
Appingedam;G0003;10886;Groningen;P20;9521;8258;24;;8234;2086;4346;873;387;10;76;65;131;54;42;8;28;62;8;6;5;4;35;;5;2;;;1;;;
Arcen en Velden;G0885;10202;Limburg;P31;6086;5435;12;;5423;3310;957;730;247;1;68;53;2;7;14;1;7;1;9;2;3;;1;8;1;;1;;;0;;
Arnemuiden;G0649;11419;Zeeland;P29;2839;2496;14;;2482;745;488;266;71;580;7;6;10;269;5;7;;8;2;3;4;6;;;5;;;;;;;
Arnhem;G0202;10795;Gelderland;P25;97602;80697;227;;80470;21593;34037;13227;5546;191;1286;1517;496;393;476;306;496;129;164;110;276;74;19;;25;32;;;29;16;32;
Assen;G0106;10522;Drenthe;P22;35138;30725;88;;30637;6609;13442;5139;2048;43;604;348;1493;264;159;;98;122;38;39;55;72;18;;33;9;;4;;;;
Asten;G0743;10478;Noord-Brabant;P30;10363;9252;19;;9233;5731;1727;1025;389;2;110;81;2;13;27;9;14;6;16;14;25;3;;;;7;11;20;;1;;
Avereest;G0143;11190;Overijssel;P23;10159;9168;23;;9145;4336;2504;1382;333;50;61;37;152;191;10;12;12;26;11;8;8;1;;;8;1;;;;2;;
Axel;G0650;11289;Zeeland;P29;8907;7354;18;;7336;2689;2159;1160;326;98;46;53;646;51;21;17;1;23;14;8;8;4;4;;2;4;;2;;;;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;4151;3683;7;;3676;2128;683;615;140;3;26;24;2;12;6;6;;2;8;7;6;1;;;;1;1;5;;0;;
Baarn;G0308;11411;Utrecht;P26;18554;16193;59;;16134;5153;4060;4608;1056;138;259;201;123;252;51;34;26;42;38;28;28;15;9;;4;;;;3;5;1;
Baexem;G0886;11255;Limburg;P31;1703;1552;5;;1547;1018;243;193;61;7;6;7;;1;3;1;2;;2;;;;;3;;;0;;;0;;
Baflo;G0004;10539;Groningen;P20;2079;1916;2;;1914;695;672;273;73;3;33;30;90;16;7;2;4;3;2;;2;1;3;;5;;;;;;;
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;5415;4625;11;;4614;3134;803;412;153;;40;28;;1;5;6;6;4;9;7;3;2;;;;;0;1;;0;;
Barendrecht;G0489;10943;Zuid-Holland;P28;13992;12659;25;;12634;4805;2532;2794;893;820;140;58;168;203;20;35;14;38;25;28;16;20;1;;10;11;;3;;;;
Barneveld;G0203;10906;Gelderland;P25;26898;24636;56;;24580;11587;2845;3810;711;3832;137;75;307;1043;27;49;8;55;24;24;16;13;2;;4;6;;;3;2;0;
Barsingerhorn;G0369;10973;Noord-Holland;P27;2893;2501;3;;2498;406;1180;683;118;3;21;24;;5;21;9;;;7;15;6;;;;;;;;;;;
Bathmen;G0144;11030;Overijssel;P23;3738;3503;4;;3499;1097;880;1165;246;1;46;23;15;2;1;7;1;5;2;5;2;;1;;;;;;;0;;
Bedum;G0005;10425;Groningen;P20;6976;6586;12;;6574;2689;1740;667;325;14;91;37;829;88;18;7;8;40;1;5;10;1;;;4;;;;;;;
Beegden;G0887;11089;Limburg;P31;1304;1157;0;;1157;606;343;123;53;;12;10;;;2;2;;1;;3;;;;2;;;0;;;0;;
Beek;G0888;11374;Limburg;P31;12264;10626;38;;10588;4922;3115;1572;558;5;125;57;5;19;31;31;10;8;17;9;16;;;60;1;2;24;1;;0;;
Beek en Donk;G0746;10173;Noord-Brabant;P30;6502;5617;10;;5607;2979;1616;532;212;10;63;46;1;4;67;6;23;8;17;3;7;2;1;;;1;5;2;;2;;
