RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP (Socialistische Partij);De Groenen;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie
Aalburg;G0738;11084;Noord-Brabant;P30;7619;6537;28;;6509;2712;1019;513;206;96;1555;137;223;23;6;7;6;2;;1;3;;;;;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;16904;14231;50;;14181;6206;2612;3361;1107;342;82;131;164;95;3;39;20;5;5;2;;2;4;;;1;;;;
Aalten;G0197;11046;Gelderland;P25;13500;11584;28;;11556;6672;2683;933;505;303;27;105;234;33;3;22;11;;2;3;8;4;7;1;;;;;;
Aardenburg;G0648;11020;Zeeland;P29;2674;2186;4;;2182;953;634;411;94;45;11;8;3;10;;7;3;;1;;2;;;;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;4181;3566;16;;3550;1833;922;405;239;71;2;10;12;19;12;11;4;4;;;5;;;1;;;;;;
Abcoude;G0305;10712;Utrecht;P26;5885;5200;22;;5178;1957;880;1334;568;175;63;78;35;38;4;26;12;2;2;1;1;1;;;1;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;19787;17514;57;;17457;7261;6519;987;655;371;191;808;563;26;11;29;8;;9;9;6;3;;1;;;;;;
Adorp;G0001;10996;Groningen;P20;1337;1214;0;;1214;436;322;146;74;84;3;124;5;2;3;3;5;;1;6;;;;;;;;;;
Aduard;G0002;10999;Groningen;P20;2101;1880;1;;1879;607;647;203;103;59;1;229;8;2;2;4;2;;1;10;1;;;;;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;3811;3285;11;;3274;1510;618;577;381;107;2;7;12;15;10;18;10;3;2;1;1;;;;;;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;12896;10807;34;;10773;2668;4207;1176;702;291;1153;171;249;98;14;18;6;12;;;3;4;;1;;;;;;
Albrandswaard;G0613;10124;Zuid-Holland;P28;10862;9009;27;;8982;3182;2263;1923;826;244;206;114;55;94;10;28;12;6;6;4;8;1;;;;;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;10141;8653;11;;8642;4979;1303;1396;515;290;14;20;11;39;6;28;10;10;1;4;3;3;;9;;1;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;64433;50089;143;;49946;14236;17766;7871;4909;3155;92;340;237;428;250;300;101;83;48;27;31;9;46;17;;;;;;
Almelo;G0141;11053;Overijssel;P23;44437;36360;103;;36257;12193;15613;4047;2214;884;128;344;315;219;97;64;31;22;26;13;7;9;28;3;;;;;;
Almere;G0034;10018;Flevoland;P24;46243;34848;84;;34764;6079;13493;7498;4159;1880;40;214;114;783;117;154;84;;72;30;19;19;;9;;;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;44028;34842;101;;34741;12453;8101;7228;3220;1322;580;420;551;225;426;83;50;16;4;25;32;2;;2;;1;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;4505;3834;11;;3823;2333;628;474;263;74;1;4;1;17;5;9;4;;2;2;6;;;;;;;;;
Ambt Delden;G0142;11400;Overijssel;P23;4030;3712;4;;3708;2722;423;381;112;38;4;12;2;9;2;;1;1;;1;;;;;;;;;;
Ameland;G0060;11153;Fryslân;P21;2382;2920;5;;2915;1279;851;440;176;99;6;32;7;6;1;8;4;;;5;1;;;;;;;;;
Amerongen;G0306;11372;Utrecht;P26;5036;4350;9;;4341;1560;1070;775;244;91;392;40;107;28;9;10;5;2;1;4;1;;;1;;1;;;;
Amersfoort;G0307;10948;Utrecht;P26;73373;57742;132;;57610;18947;16527;9082;5275;3291;817;2180;480;478;86;157;76;96;43;30;6;11;;4;11;7;6;;;
Ammerzoden;G0198;10151;Gelderland;P25;3148;2736;11;;2725;1618;587;240;135;36;46;5;23;11;3;8;1;;1;2;4;1;3;1;;;;;;
