RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);VVD;CDA;Democraten 66 (D66);GL;SP (Socialistische Partij);Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;De Groenen;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief
Aa en Hunze;G1680;10787;Drenthe;P22;19258;15618;;30;15588;6424;4595;1312;1509;863;326;93;11;103;;105;61;54;50;20;32;2;3;;16;6;3
Aalburg;G0738;11084;Noord-Brabant;P30;8335;6806;;22;6784;1029;1259;1478;195;166;117;708;1523;141;67;19;42;13;15;2;3;0;2;3;0;2;0
Aalsmeer;G0358;11264;Noord-Holland;P27;17317;13540;;11;13529;2866;5040;2630;1235;612;176;365;69;127;77;44;98;61;69;17;17;12;4;;3;5;2
Aalten;G0197;11046;Gelderland;P25;13840;11154;;24;11130;2769;1573;4753;541;555;196;467;18;56;37;25;45;26;28;6;12;4;3;9;2;2;3
Abcoude;G0305;10712;Utrecht;P26;6275;5431;;8;5423;1032;1957;987;742;319;77;73;39;50;25;13;42;20;15;16;6;2;0;4;0;0;4
Achtkarspelen;G0059;10199;Fryslân;P21;21097;16330;;33;16297;4924;1558;5999;604;747;488;746;136;823;110;36;;16;63;11;21;;0;;12;3;
Akersloot;G0360;10346;Noord-Holland;P27;3621;2977;;3;2974;795;943;584;288;179;64;16;3;5;16;14;22;16;8;7;6;3;1;;2;2;0
Alblasserdam;G0482;11327;Zuid-Holland;P28;13165;10072;;9;10063;3397;1849;1463;507;371;259;639;1197;144;56;27;47;34;19;8;12;2;20;5;7;0;0
Albrandswaard;G0613;10124;Zuid-Holland;P28;11923;9107;;27;9080;2221;3227;1540;819;420;197;127;150;126;48;37;68;22;21;8;18;14;4;5;2;4;2
Alkemade;G0483;10349;Zuid-Holland;P28;10676;8419;;10;8409;1837;2740;2239;571;531;171;25;8;15;59;34;54;42;48;16;8;9;2;;0;0;0
Alkmaar;G0361;10527;Noord-Holland;P27;68606;50093;;67;50026;15782;11822;6106;5426;5774;2570;439;53;290;326;227;325;244;138;160;159;63;48;;38;21;15
Almelo;G0141;11053;Overijssel;P23;48355;35173;;37;35136;12985;7069;6949;2402;2297;1194;590;89;383;234;313;159;131;63;58;43;42;91;;31;5;8
Almere;G0034;10018;Flevoland;P24;87773;61102;;70;61032;18326;21345;4136;6783;4922;1821;594;85;491;410;413;676;414;186;92;199;38;56;;32;13;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;50580;38097;;48;38049;9423;11194;6094;4166;2539;1303;1299;496;419;215;112;407;118;111;47;42;16;19;;10;8;11
Alphen-Chaam;G1723;10710;Noord-Brabant;P30;7065;5707;;16;5691;1342;1582;1769;363;286;127;13;6;3;52;23;30;16;43;4;5;12;1;14;0;0;0
Ambt Delden;G0142;11400;Overijssel;P23;3986;3523;;10;3513;457;629;2120;110;68;48;3;1;10;26;12;4;5;11;2;2;3;2;;0;0;0
Ambt Montfort;G1679;10456;Limburg;P31;8582;6266;;17;6249;2123;1282;1531;387;446;161;9;4;3;87;59;24;21;21;9;50;17;3;7;4;0;1
Ameland;G0060;11153;Fryslân;P21;2614;2797;;0;2797;819;714;797;185;151;39;19;3;19;10;1;;7;17;8;6;;1;;0;1;
Amerongen;G0306;11372;Utrecht;P26;5508;4453;;6;4447;957;1224;877;324;210;73;211;390;47;26;19;49;11;16;6;0;3;0;1;2;1;0
Amersfoort;G0307;10948;Utrecht;P26;89182;65285;;70;65215;16964;16673;9425;7642;6314;1620;1336;694;2717;261;213;423;248;157;112;104;51;97;59;63;32;10
Ammerzoden;G0198;10151;Gelderland;P25;3422;2696;;20;2676;685;711;805;157;105;61;40;43;10;;14;9;16;14;1;1;1;1;;2;0;0
Amstelveen;G0362;10799;Noord-Holland;P27;58946;46662;;54;46608;10767;17004;5708;6271;3815;798;415;72;223;166;312;342;237;149;90;104;46;53;;13;14;9
Amsterdam;G0363;11150;Noord-Holland;P27;518374;333716;;1762;331954;107065;73757;20214;47612;49731;14890;1671;319;943;3140;2239;2509;2056;772;2681;770;312;471;;490;211;101
Andijk;G0364;10822;Noord-Holland;P27;4648;3702;;3;3699;895;838;959;219;226;93;271;52;22;23;20;37;14;15;7;4;1;0;;1;2;0
Angerlo;G0199;11131;Gelderland;P25;3630;2932;;4;2928;1030;613;773;227;147;57;7;1;6;10;12;7;9;19;5;2;1;0;0;0;2;0
Anna Paulowna;G0366;10344;Noord-Holland;P27;10005;7574;;11;7563;1887;2797;1429;592;346;134;53;15;58;37;26;70;28;53;10;12;9;2;;2;0;3
Apeldoorn;G0200;11075;Gelderland;P25;116786;87069;;104;86965;25507;22298;15327;7974;5735;2031;2513;2108;1021;362;520;358;272;228;130;202;57;133;104;62;15;8
Appingedam;G0003;10886;Groningen;P20;9714;6898;;4;6894;3076;1044;1280;422;307;258;126;8;149;40;64;17;49;12;6;3;2;12;;18;1;
Arcen en Velden;G0885;10202;Limburg;P31;6638;5150;;12;5138;1435;1234;1587;340;294;94;5;2;7;38;25;16;24;6;7;7;11;1;4;0;1;0
Arnhem;G0202;10795;Gelderland;P25;104618;70626;;188;70438;22887;15469;8458;8012;8198;3894;716;109;581;374;387;249;257;117;197;106;62;99;98;26;130;12
Assen;G0106;10522;Drenthe;P22;41963;32489;;27;32462;11829;6178;4449;3113;2501;1105;561;47;2075;;130;125;91;71;37;43;9;52;;34;7;5
Asten;G0743;10478;Noord-Brabant;P30;11792;9315;;29;9286;2558;2072;2883;616;585;265;10;2;7;42;51;54;15;38;13;32;13;2;25;;0;3
Avereest;G0143;11190;Overijssel;P23;11332;8879;;16;8863;2582;1846;2754;446;326;114;271;69;231;58;24;52;17;28;11;8;11;10;;2;3;0
Axel;G0650;11289;Zeeland;P29;8872;6331;;15;6316;1861;1389;1276;349;321;137;95;66;618;79;28;39;13;19;2;4;6;0;10;3;1;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;4400;3266;;0;3266;766;710;1293;174;128;84;9;1;1;23;12;13;13;14;7;3;9;0;2;2;2;0
Baarn;G0308;11411;Utrecht;P26;18467;14310;;11;14299;3288;4744;2167;1595;1009;372;468;110;143;82;48;93;35;50;27;21;20;12;7;3;2;3
Barendrecht;G0489;10943;Zuid-Holland;P28;18528;14896;;25;14871;3152;4563;2747;1383;680;281;547;937;253;61;47;55;36;46;22;18;1;9;13;3;16;1
Barneveld;G0203;10906;Gelderland;P25;32823;27104;;16;27088;3501;5514;7082;995;695;271;2805;4869;741;94;33;124;50;246;16;13;8;10;9;7;3;2
Bathmen;G0144;11030;Overijssel;P23;4071;3485;;10;3475;966;1266;626;355;155;36;3;3;6;8;8;13;10;11;2;5;0;0;;0;1;1
Bedum;G0005;10425;Groningen;P20;7853;6662;;20;6642;1744;799;2054;504;309;140;132;37;802;10;29;23;11;9;19;9;3;4;;2;2;
Beek;G0888;11374;Limburg;P31;13211;9567;;12;9555;2694;2374;2242;802;758;317;15;2;10;73;108;27;38;9;16;26;11;9;16;4;0;4
Beemster;G0370;10816;Noord-Holland;P27;6289;5085;;12;5073;1344;1851;811;493;277;93;24;2;6;20;26;41;23;28;13;5;6;8;;2;0;0
Beesel;G0889;10195;Limburg;P31;9872;6839;;7;6832;2143;1596;1704;388;453;127;13;5;11;202;42;24;41;16;7;18;14;8;12;4;0;4
Belfeld;G0890;10292;Limburg;P31;4053;2728;;7;2721;817;657;682;203;175;72;5;0;1;51;18;7;6;11;6;4;2;0;1;1;2;0
Bellingwedde;G0007;10340;Groningen;P20;7524;5679;;27;5652;2743;976;513;347;452;243;104;11;26;49;42;17;30;25;13;8;1;0;;49;3;
Bemmel;G0206;10744;Gelderland;P25;12968;9399;;14;9385;3222;2168;2303;767;481;210;18;4;16;42;27;33;23;20;15;12;6;5;11;0;2;0
Bennebroek;G0372;10734;Noord-Holland;P27;4060;3387;;7;3380;612;1329;766;354;165;43;27;7;16;9;4;15;5;7;3;7;7;1;;1;0;2
Bergambacht;G0491;10962;Zuid-Holland;P28;6844;5908;;10;5898;1766;1520;798;434;149;96;332;648;50;23;15;23;16;13;9;3;1;0;;1;0;1
Bergen;G0893;11281;Limburg;P31;10062;6887;;8;6879;2201;1432;2121;352;364;156;4;0;13;59;37;33;27;31;16;12;9;4;8;0;0;0
Bergen;G0373;11424;Noord-Holland;P27;10736;8918;;15;8903;2004;3158;1185;1220;838;181;35;4;16;53;35;37;33;26;25;33;13;2;;1;3;1
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;47199;31542;;47;31495;8828;9596;4877;2787;2389;1256;146;34;68;347;91;498;274;76;41;39;28;35;53;16;9;7
Bergeyk;G0749;11160;Noord-Brabant;P30;13404;10202;;8;10194;2765;2239;3387;597;602;265;25;4;11;49;38;64;54;38;10;11;18;4;11;;2;0
Bergh;G0207;10350;Gelderland;P25;14223;10081;;13;10068;3453;2212;2906;561;425;165;31;8;11;64;33;39;45;44;23;17;17;6;5;1;1;1
Bergschenhoek;G0492;10445;Zuid-Holland;P28;7454;5944;;5;5939;1085;2093;1335;525;222;101;200;53;159;33;27;52;18;19;5;4;3;2;;1;1;1
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;11807;9653;;6;9647;1694;2871;2526;815;406;140;120;53;746;46;53;60;33;40;16;14;9;2;;0;3;0
