RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;SP (Socialistische Partij);Lijst Pim Fortuyn;GL;Democraten 66 (D66);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen
Aa en Hunze;G1680;10787;Drenthe;P22;19461;16795;;18;16777;2490;6953;4108;788;642;774;708;142;10;68;53;17;16;1;2;5;;;
Aalburg;G0738;11084;Noord-Brabant;P30;8685;7588;;6;7582;3118;857;802;233;352;89;76;510;1466;32;23;16;5;0;1;1;0;1;
Aalsmeer;G0358;11264;Noord-Holland;P27;17298;14671;;14;14657;5138;2548;3934;536;861;511;638;269;53;61;64;19;13;1;4;7;;0;
Aalten;G0197;11046;Gelderland;P25;13896;11903;;5;11898;5935;2545;1249;600;365;448;291;331;24;42;25;14;11;11;2;4;;1;
Abcoude;G0305;10712;Utrecht;P26;6202;5648;;4;5644;1637;1076;1574;228;244;283;437;77;47;16;11;3;4;1;2;3;1;0;
Achtkarspelen;G0059;10199;Fryslân;P21;21382;17858;;12;17846;7411;5535;1283;750;640;448;225;1235;144;50;85;26;11;0;3;;;0;
Alblasserdam;G0482;11327;Zuid-Holland;P28;13436;11229;;9;11220;2967;3170;1473;482;661;239;226;608;1266;45;31;15;12;8;9;2;2;2;2
Albrandswaard;G0613;10124;Zuid-Holland;P28;13830;11819;;20;11799;3171;2398;3123;470;1360;309;491;181;120;74;60;12;15;2;6;6;0;0;1
Alkemade;G0483;10349;Zuid-Holland;P28;10748;9285;;2;9283;3971;1507;1981;376;575;364;341;27;14;33;48;23;14;2;1;2;2;2;
Alkmaar;G0361;10527;Noord-Holland;P27;69528;54645;;75;54570;10902;17845;9489;4697;2977;4332;2754;572;43;334;287;84;65;137;38;;;14;
Almelo;G0141;11053;Overijssel;P23;52689;40909;;38;40871;12044;14319;5945;2448;1826;1636;1282;942;112;;166;79;34;;22;16;;;
Almere;G0034;10018;Flevoland;P24;112149;85413;;95;85318;13459;26133;21145;5334;7259;4804;4409;1255;90;541;518;122;125;54;55;;;15;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;52995;42453;;73;42380;11830;9597;9699;2388;2424;2192;2046;1177;476;224;168;68;37;12;16;14;8;4;
Alphen-Chaam;G1723;10710;Noord-Brabant;P30;7052;6098;;1;6097;2884;938;1239;298;322;188;162;8;1;22;12;14;5;0;0;2;0;2;
Ambt Montfort;G1679;10456;Limburg;P31;8572;6659;;3;6656;2926;1647;890;347;331;242;154;9;0;53;26;15;8;3;2;3;;;
Ameland;G0060;11153;Fryslân;P21;2652;2436;;0;2436;982;573;448;113;116;92;60;15;1;8;19;5;3;0;1;;;0;
Amerongen;G0306;11372;Utrecht;P26;5414;4694;;4;4690;1531;867;919;176;239;156;188;153;403;24;13;12;4;0;2;3;0;0;
Amersfoort;G0307;10948;Utrecht;P26;94763;77423;;70;77353;18581;20792;14969;5484;3080;5561;4034;3418;606;315;273;80;41;45;36;19;10;9;
Amstelveen;G0362;10799;Noord-Holland;P27;57525;48461;;44;48417;11065;11645;13550;2498;2311;2816;3482;411;72;277;146;47;37;21;14;21;;4;
Amsterdam;G0363;11150;Noord-Holland;P27;524362;376563;;1788;374775;36352;143188;58528;37127;21658;41289;26439;2670;237;3211;1146;553;490;1012;460;138;218;59;
Andijk;G0364;10822;Noord-Holland;P27;4712;3976;;1;3975;1456;753;708;236;267;158;107;193;45;21;20;6;3;0;1;;;1;
Angerlo;G0199;11131;Gelderland;P25;3783;3280;;9;3271;1196;885;614;181;131;113;106;6;1;12;16;8;2;0;0;0;;0;
Anna Paulowna;G0366;10344;Noord-Holland;P27;10332;8575;;4;8571;2657;1901;2338;356;548;270;265;88;8;54;61;14;5;3;2;;;1;
Apeldoorn;G0200;11075;Gelderland;P25;118653;96048;;60;95988;27009;27715;17924;4810;4191;4664;3800;2417;2303;477;413;111;57;30;31;28;;8;
Appingedam;G0003;10886;Groningen;P20;9797;7701;;2;7699;1664;3624;834;457;307;254;237;212;13;38;28;10;1;2;18;;;0;
Arcen en Velden;G0885;10202;Limburg;P31;6636;5485;;2;5483;2795;1026;797;254;236;177;138;8;0;21;24;3;2;0;1;1;;;
Arnhem;G0202;10795;Gelderland;P25;106866;80111;;266;79845;15041;27503;12627;7646;3541;6965;4054;1079;86;520;239;111;203;145;34;30;;21;
Assen;G0106;10522;Drenthe;P22;45672;37684;;28;37656;7446;14440;5630;2380;1297;2115;1417;2442;101;154;104;32;31;37;13;17;;;
Asten;G0743;10478;Noord-Brabant;P30;11994;10192;;26;10166;4772;1851;1573;668;524;340;280;22;5;37;49;32;8;1;2;1;1;0;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;4951;3954;;1;3953;1877;704;696;214;210;110;76;8;3;22;16;9;4;1;1;1;0;1;
Baarn;G0308;11411;Utrecht;P26;18341;15405;;20;15385;4119;3476;3836;828;792;880;765;392;101;91;51;16;18;4;5;7;0;4;
Barendrecht;G0489;10943;Zuid-Holland;P28;26246;22374;;21;22353;6245;4536;5117;824;2207;740;836;587;972;97;100;19;38;6;8;11;6;0;4
Barneveld;G0203;10906;Gelderland;P25;34352;30556;;11;30545;13322;2958;3761;654;1413;539;460;2110;5126;63;78;27;11;12;4;5;;2;
Bathmen;G0144;11030;Overijssel;P23;4095;3730;;5;3725;1214;997;956;112;131;135;148;7;1;;9;13;1;;1;0;;;
Bedum;G0005;10425;Groningen;P20;8090;7200;;3;7197;2691;1951;675;361;172;301;237;716;45;23;17;4;2;0;0;;;2;
Beek;G0888;11374;Limburg;P31;13111;10591;;9;10582;4366;2539;1621;570;537;449;318;33;6;52;54;20;11;2;3;1;;;
Beemster;G0370;10816;Noord-Holland;P27;6453;5617;;15;5602;1582;1311;1532;250;332;237;268;18;2;36;24;4;3;0;3;;;0;
Beesel;G0889;10195;Limburg;P31;10141;7543;;7;7536;3031;1877;1138;398;472;282;197;21;3;61;33;10;4;0;5;4;;;
Bellingwedde;G0007;10340;Groningen;P20;7532;6013;;7;6006;867;3047;796;347;345;257;138;94;12;45;23;7;4;0;22;;;2;
Bennebroek;G0372;10734;Noord-Holland;P27;4130;3638;;1;3637;1208;599;1165;106;125;160;224;18;6;15;5;2;3;0;1;0;;0;
Bergambacht;G0491;10962;Zuid-Holland;P28;6860;6151;;1;6150;1638;1512;1212;159;383;140;197;218;632;31;15;5;5;0;2;1;0;0;
Bergeijk;G1724;11160;Noord-Brabant;P30;13484;11364;;16;11348;5462;1916;1987;653;617;299;250;33;8;41;52;18;6;0;2;3;0;1;
Bergen;G0893;11281;Limburg;P31;10047;7788;;6;7782;3637;1763;1057;427;413;226;156;6;2;41;30;16;4;0;0;4;;;
