RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;Partij van de Arbeid (P.v.d.A.);PVV (Partij voor de Vrijheid);CDA;SP (Socialistische Partij);Democraten 66 (D66);GROENLINKS;ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit (MenS);Piratenpartij;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland
Aa en Hunze;G1680;10787;Drenthe;P22;20153;15997;11;13;15973;4057;4744;1608;1259;1491;1040;1159;254;19;201;64;46;14;5;5;7;0;
Aalburg;G0738;11084;Noord-Brabant;P30;9295;7660;9;3;7648;1136;491;1224;1553;423;162;152;820;1575;60;33;10;2;4;0;3;0;
Aalsmeer;G0358;11264;Noord-Holland;P27;21643;17509;42;21;17446;6024;2170;2499;2738;967;1169;807;613;81;212;105;28;12;14;1;6;;
Aalten;G0197;11046;Gelderland;P25;20741;16127;13;13;16101;2478;2700;1868;4329;2193;704;725;754;53;149;74;39;1;15;2;9;3;5
Abcoude;G0305;10712;Utrecht;P26;6251;5430;2;4;5424;1789;937;498;718;241;580;420;105;35;56;20;11;7;4;1;0;2;
Achtkarspelen;G0059;10199;Fryslân;P21;21555;15898;24;7;15867;1577;3257;2290;4185;1559;367;511;1700;180;132;49;28;7;8;1;3;;13
Alblasserdam;G0482;11327;Zuid-Holland;P28;13929;10947;20;8;10919;1733;1929;1557;1381;827;396;372;1041;1511;102;43;15;5;5;2;0;0;
Albrandswaard;G0613;10124;Zuid-Holland;P28;18399;14238;23;13;14202;4193;1838;2909;1662;1206;879;624;366;175;209;88;26;7;12;3;3;2;
Alkmaar;G0361;10527;Noord-Holland;P27;71630;53994;77;73;53844;10172;13400;6993;4605;6250;4451;5321;782;56;1011;402;229;69;50;13;17;14;9
Almelo;G0141;11053;Overijssel;P23;53936;37291;84;40;37167;6306;8379;7001;5441;3984;2128;1759;1269;97;336;261;117;53;14;9;8;5;
Almere;G0034;10018;Flevoland;P24;132492;94444;207;103;94134;24377;22295;16641;4850;8857;5990;6120;1947;118;1505;770;296;158;81;32;19;;78
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;55973;42003;76;47;41880;10889;7198;5773;5165;3588;3286;2749;1752;472;546;245;105;38;42;10;15;7;
Alphen-Chaam;G1723;10710;Noord-Brabant;P30;7296;5945;11;6;5928;1521;649;896;1612;531;312;240;27;3;56;51;16;4;8;0;1;1;
Ameland;G0060;11153;Fryslân;P21;2650;2939;4;2;2933;600;581;371;724;178;152;196;54;12;26;14;21;2;0;0;2;;0
Amersfoort;G0307;10948;Utrecht;P26;105609;83153;103;81;82969;18222;17167;9527;8384;6874;7518;7706;5016;704;1036;320;281;110;47;17;25;15;
Amstelveen;G0362;10799;Noord-Holland;P27;57077;45339;71;31;45237;12929;9637;5089;4200;2962;4890;3541;753;88;709;160;164;48;44;12;11;;
Amsterdam;G0363;11150;Noord-Holland;P27;546620;387118;1648;462;385008;64798;135816;36172;12705;27890;45613;48190;3405;274;6927;1067;917;603;226;189;93;;123
Andijk;G0364;10822;Noord-Holland;P27;4910;3845;0;4;3841;891;514;612;680;364;174;182;251;56;66;29;16;3;1;1;1;0;0
Anna Paulowna;G0366;10344;Noord-Holland;P27;10800;8435;8;10;8417;2587;1286;1328;1244;762;444;385;152;12;95;74;20;6;4;13;2;1;2
Apeldoorn;G0200;11075;Gelderland;P25;122225;90476;181;71;90224;18379;18737;11407;12125;8341;6605;5785;4103;2496;1271;424;297;87;62;18;28;40;19
Appingedam;G0003;10886;Groningen;P20;9567;6804;16;8;6780;805;2152;960;891;918;272;334;296;16;89;26;16;3;2;0;0;;0
Arnhem;G0202;10795;Gelderland;P25;111724;79330;157;81;79092;13559;19393;10749;5862;9726;7399;8402;1626;128;1427;289;254;120;81;23;16;20;18
Assen;G0106;10522;Drenthe;P22;50527;38253;45;35;38173;6268;10702;3919;3753;4320;2301;2762;3142;192;449;147;114;48;30;11;9;6;
Asten;G0743;10478;Noord-Brabant;P30;12391;9711;13;9;9689;2010;1216;1585;2530;1225;432;410;46;8;71;95;32;10;14;1;1;3;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;5235;3775;12;1;3762;774;409;710;1011;409;160;152;26;1;56;30;18;2;4;0;0;0;
Baarn;G0308;11411;Utrecht;P26;18822;14814;23;9;14782;4115;2433;1888;1816;1016;1385;1110;544;109;232;58;37;20;6;3;5;5;
Barendrecht;G0489;10943;Zuid-Holland;P28;33947;26707;36;17;26654;7442;3460;4822;3036;2065;1584;1432;1070;1112;370;143;57;34;15;2;6;4;
Barneveld;G0203;10906;Gelderland;P25;37704;31889;37;12;31840;5739;2166;3675;7477;1143;839;753;3431;6236;154;139;37;18;11;1;4;0;17
Bedum;G0005;10425;Groningen;P20;8031;6444;6;7;6431;702;1517;520;1353;646;272;416;815;64;77;27;10;3;4;1;0;;4
Beek;G0888;11374;Limburg;P31;13210;10305;16;9;10280;1670;1497;2905;1709;1166;505;496;47;3;151;77;29;12;6;1;3;3;
Beemster;G0370;10816;Noord-Holland;P27;6630;5431;6;0;5425;1778;919;749;708;412;375;314;41;1;71;38;9;6;3;1;0;0;0
Beesel;G0889;10195;Limburg;P31;10689;7743;12;6;7725;1258;1114;2304;1300;897;338;303;28;5;91;51;20;13;2;0;1;0;
Bellingwedde;G0007;10340;Groningen;P20;7409;5523;2;2;5519;817;1618;1031;391;876;180;303;124;18;105;22;21;1;10;1;0;;1
Bergambacht;G0491;10962;Zuid-Holland;P28;7271;6122;6;2;6114;1437;929;728;865;390;294;193;452;711;72;26;7;5;2;1;0;2;
Bergeijk;G1724;11160;Noord-Brabant;P30;13801;10659;11;8;10640;2112;1199;1853;3030;1281;461;372;65;4;99;109;27;9;9;6;1;3;
Bergen;G0893;11281;Limburg;P31;10362;7533;10;12;7511;1151;829;1831;1659;1317;257;272;25;6;66;68;18;4;4;1;0;3;
Bergen;G0373;11424;Noord-Holland;P27;24358;20097;20;13;20064;5553;3690;2667;2447;1400;1612;1823;121;12;423;123;138;14;17;12;7;3;2
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;49820;35141;81;25;35035;7638;6438;7224;4350;3813;2329;2003;310;44;431;301;78;35;23;8;3;7;
Berkelland;G1859;10436;Gelderland;P25;34742;27241;30;15;27196;5939;5788;3150;5370;2858;1745;1391;373;34;243;152;94;16;25;6;7;5;0
Bernheze;G1721;10149;Noord-Brabant;P30;22313;16661;12;12;16637;3434;2111;2354;4046;2713;935;649;67;1;137;111;46;14;16;2;1;0;
Bernisse;G0568;10316;Zuid-Holland;P28;9884;7630;15;7;7608;2114;1065;1473;1099;680;338;296;256;80;115;57;17;10;7;0;1;0;
Best;G0753;10442;Noord-Brabant;P30;21483;16513;15;18;16480;3822;2512;2706;2754;2048;1195;763;273;22;157;140;40;19;19;4;6;0;
Beuningen;G0209;10417;Gelderland;P25;19430;14855;14;10;14831;3270;2639;2631;2025;2095;926;844;106;14;130;91;25;7;21;2;1;4;
Beverwijk;G0375;10272;Noord-Holland;P27;29028;20993;39;6;20948;4376;4256;4175;2083;2274;1351;1607;183;26;325;165;64;32;16;7;8;;
Binnenmaas;G0585;10222;Zuid-Holland;P28;22661;17931;10;6;17915;4405;2825;2877;2572;1440;823;796;734;1009;273;102;25;13;17;0;3;1;
Bladel;G1728;11006;Noord-Brabant;P30;14706;10975;13;10;10952;2166;1314;1793;2727;1558;525;501;72;2;111;104;52;10;10;2;3;2;
Blaricum;G0376;10493;Noord-Holland;P27;6954;5843;8;2;5833;2294;798;619;689;343;567;320;51;11;81;23;25;4;6;1;1;;
Bloemendaal;G0377;10850;Noord-Holland;P27;16420;13951;20;9;13922;5528;2035;954;1695;532;1747;923;148;20;222;36;44;17;8;10;3;;
Boarnsterhim;G0055;10815;Fryslân;P21;14701;11682;10;10;11662;2414;3418;1004;1433;1341;796;855;192;22;80;41;44;5;9;2;5;;1
Bodegraven;G0497;11091;Zuid-Holland;P28;14364;11547;24;3;11520;2660;1504;1544;2219;789;563;503;836;688;115;57;23;8;6;4;0;1;
Boekel;G0755;10432;Noord-Brabant;P30;7239;5517;5;5;5507;1055;534;894;1545;878;252;190;23;3;56;51;10;6;7;1;1;1;
Bolsward;G0064;10865;Fryslân;P21;7598;5873;10;0;5863;762;1388;606;1393;785;277;325;185;24;64;25;18;3;4;1;1;;2
Borger-Odoorn;G1681;10448;Drenthe;P22;20504;15787;25;8;15754;3177;4421;2180;1881;1544;726;825;568;50;197;96;67;11;2;0;7;2;
Borne;G0147;10326;Overijssel;P23;16023;12710;17;10;12683;2382;2383;1640;2923;1447;890;610;181;9;77;76;43;8;9;1;3;1;
Borsele;G0654;10043;Zeeland;P29;16956;13376;21;4;13351;2170;1765;1759;2747;1062;525;540;428;2011;188;103;27;12;8;1;5;;
Boskoop;G0499;10419;Zuid-Holland;P28;11071;9039;9;7;9023;2380;1197;1226;1619;555;528;545;425;340;112;38;36;11;9;0;1;1;
Boxmeer;G0756;11227;Noord-Brabant;P30;21679;17856;10;15;17831;2918;1765;2082;3388;6013;725;593;87;17;107;83;27;10;14;1;0;1;
Boxtel;G0757;10083;Noord-Brabant;P30;23037;16889;13;25;16851;3251;3164;2474;2704;2379;1301;1053;121;17;190;114;47;17;7;6;2;4;
Breda;G0758;10154;Noord-Brabant;P30;131892;96568;174;95;96299;23767;18217;13777;10920;10048;9099;7261;716;76;1238;515;390;127;94;19;12;23;
Breukelen;G0311;10807;Utrecht;P26;10806;8991;15;5;8971;2488;1139;1081;1405;560;682;494;502;462;84;39;16;7;7;1;2;2;
Brielle;G0501;10232;Zuid-Holland;P28;12121;9300;11;12;9277;2718;1401;1724;913;1075;577;443;129;29;124;89;37;6;9;0;1;2;
Bronckhorst;G1876;11159;Gelderland;P25;29387;23218;18;16;23184;5304;4352;2658;5388;2018;1306;1104;432;142;230;130;77;11;20;3;2;5;2
Brummen;G0213;10798;Gelderland;P25;16370;12401;12;2;12387;2830;3066;1735;1420;1333;738;739;189;31;144;90;45;7;8;0;1;11;0
Brunssum;G0899;10533;Limburg;P31;23456;16575;24;34;16517;1816;2721;5699;1826;2442;504;766;215;16;252;170;62;12;7;2;4;3;
Bunnik;G0312;10820;Utrecht;P26;10863;9233;5;15;9213;2167;1598;848;1618;580;864;1017;207;120;118;29;36;4;6;1;0;0;
Bunschoten;G0313;11343;Utrecht;P26;14660;11874;20;6;11848;1579;513;1665;3822;263;158;179;3201;357;49;43;3;5;9;0;0;2;
Buren;G0214;11286;Gelderland;P25;19833;15631;19;7;15605;4374;2537;2925;1887;906;856;680;396;665;216;109;17;8;17;2;6;4;
Bussum;G0381;10281;Noord-Holland;P27;23798;19128;30;14;19084;6127;3300;1938;1894;1242;2218;1524;314;47;287;66;73;18;21;6;9;;
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;49911;35549;62;42;35445;7518;6410;6726;3422;3234;2144;1804;1385;1870;582;169;86;47;34;6;4;4;
Castricum;G0383;11287;Noord-Holland;P27;26673;22292;25;15;22252;5806;4293;2491;3167;1787;1964;1944;202;18;294;132;108;14;20;4;1;1;6
Coevorden;G0109;10383;Drenthe;P22;27999;21431;23;14;21394;4687;5440;2952;3397;1958;993;964;509;87;205;111;70;11;6;0;4;0;
Cranendonck;G1706;10219;Noord-Brabant;P30;15713;11745;22;11;11712;2325;1441;2511;2491;1668;501;415;71;10;122;101;30;15;4;3;3;1;
Cromstrijen;G0611;11346;Zuid-Holland;P28;10087;7837;11;6;7820;2113;1242;1191;1006;634;413;349;253;450;97;48;10;6;4;1;3;0;
Cuijk;G1684;10023;Noord-Brabant;P30;18385;13943;25;12;13906;2429;2393;2083;2253;3001;769;670;47;2;127;75;22;16;15;2;0;2;
Culemborg;G0216;10342;Gelderland;P25;20081;15895;18;17;15860;3490;3442;2661;1495;1326;1183;1393;400;125;180;62;63;18;11;7;2;2;
Dalfsen;G0148;11007;Overijssel;P23;20555;16634;24;14;16596;2788;2413;1574;5012;1241;688;700;1658;287;85;89;26;14;16;2;2;1;
Dantumadiel;G1891;10650;Fryslân;P21;14958;11215;19;5;11191;912;2104;1556;2832;1248;252;369;1282;472;86;23;35;9;4;3;2;;2
De Bilt;G0310;10168;Utrecht;P26;32204;26928;24;34;26870;7164;4481;2788;3103;1959;2794;2286;867;746;417;104;113;22;18;4;1;3;
De Marne;G1663;10180;Groningen;P20;8295;6400;16;5;6379;916;1588;716;1050;693;202;477;502;39;124;34;24;7;5;0;1;;1
De Ronde Venen;G0736;11379;Utrecht;P26;25971;20958;19;18;20921;6951;2287;3185;3563;1238;1314;854;760;301;231;120;59;29;19;2;8;0;
